,302_1_www.history.de,302_2_www.history.de,302_3_www.history.de,302_4_www.history.de,302_5_www.history.de,302_6_www.history.de,302_7_www.history.de,302_8_www.history.de,302_9_www.history.de,302_10_www.history.de,303_1_www.history.de,303_3_www.history.de,303_4_www.history.de,303_5_www.history.de,303_6_www.history.de,303_7_www.history.de,303_8_www.history.de,303_9_www.history.de,304_1_www.history.de,304_2_www.history.de,304_3_www.history.de,304_4_www.history.de,304_5_www.history.de,304_6_www.history.de,304_7_www.history.de,304_8_www.history.de,304_9_www.history.de,304_10_www.history.de,305_1_www.history.de,305_2_www.history.de,305_3_www.history.de,305_4_www.history.de,305_5_www.history.de,305_6_www.history.de,305_7_www.history.de,305_8_www.history.de,305_9_www.history.de,305_10_www.history.de
40,6813306.4,8011294.0,8114995.4,7724845.8,7911645.4,7951042.4,7918558.0,7870938.0,8078288.6,7935978.6,2295620.6,2290928.0,2288105.8,2273677.2,2267223.0,2266540.2,2283452.2,2298834.2,9657121.6,9512028.0,9640542.0,9670391.6,8868941.200000001,9577731.800000004,9194383.0,9219978.800000004,9400547.8,9554066.4,3443016.8,3433026.0,3418121.8,3415807.0,3426673.0,3424061.4,3416338.6,3433656.8,3434412.4,3426881.4
41,7154236.279999998,8025392.0,8121200.439999999,7852003.78,8005599.86,8046107.12,7948967.3,7893477.0,8091342.54,7956775.6400000015,2309065.48,2301374.68,2299650.82,2293775.72,2273310.7,2271687.48,2290789.7,2308066.1799999992,9681124.08,9656335.52,9657640.0,9690020.56,9258614.0,9622139.24,9486164.200000003,9531283.3,9677044.24,9614983.4,3463992.08,3441264.14,3434664.48,3433246.84,3443932.8,3445795.44,3444466.7,3444242.76,3442379.92,3440555.64
42,7521170.679999999,8047216.0,8155156.76,7951374.800000002,8030613.68,8080734.08,7984436.2,7914094.0,8142022.76,7997572.24,2317963.76,2311734.88,2307027.92,2306486.96,2291464.8,2279550.56,2304592.84,2315195.56,9697560.04,9674358.44,9682704.4,9717480.76,9524701.6,9666777.68,9689582.8,9695027.04,9694375.48,9666742.52,3478226.12,3453450.04,3455339.72,3451893.84,3460033.0,3455096.6,3442246.88,3447706.08,3440865.04,3453728.08
43,7982018.479999999,8073283.0,8197173.64,8026228.84,8128326.94,8097662.88,8014320.8,7918502.0,8159313.78,8025879.56,2328697.44,2320645.94,2317630.9,2317882.22,2313766.4,2298106.88,2314980.62,2325870.54,9722343.44,9696579.24,9700189.9,9739321.68,9707293.52,9687318.6,9706615.6,9723722.84,9722767.44,9681309.78,3487397.38,3469831.36,3467589.8,3469461.400000001,3475821.6,3471880.08,3446742.8,3463496.76,3446527.3999999994,3469220.8
44,8016805.24,8101875.0,8224577.56,8141505.2799999975,8200775.36,8114875.28,8027954.2,7963948.0,8206213.36,8036117.52,2338939.44,2330715.68,2331758.08,2328076.32,2320384.6,2306160.36,2323797.68,2337584.76,9753399.52,9724454.92,9728310.2,9766215.6,9735923.72,9704121.6,9729657.0,9743029.84,9750012.68,9721184.72,3497461.48,3477396.92,3476545.96,3484510.88,3486948.8,3480933.44,3459009.6,3483079.12,3466612.6,3480500.76
45,8025444.8,8127489.0,8237922.8,8204550.599999999,8227344.8,8144338.1,8042125.0,7990400.0,8228136.8,8055588.6,2345307.2,2336739.9,2337745.3,2338496.4,2329163.5,2318373.2,2336046.2,2345751.6,9770783.8,9743654.6,9752023.5,9782230.4,9760409.0,9735104.6,9766401.0,9769317.9,9770131.4,9736836.0,3508278.6,3484811.3,3489533.2,3496735.400000001,3497591.0,3492104.9999999995,3482377.6,3500312.2,3477003.6,3489665.2
46,8041746.8,8148516.0,8262322.16,8222109.92,8246270.32,8173531.88,8156040.0,8023534.0,8267547.16,8087288.32,2358302.96,2349939.84,2346536.2,2345469.76,2343222.0,2323985.48,2338205.92,2355453.8,9787357.32,9761664.04,9771848.0,9794759.2,9775150.52,9758373.4,9782768.2,9787621.96,9788676.44,9754640.16,3518095.04,3496177.96,3495353.880000001,3503191.92,3506497.2,3500239.8,3491998.92,3511663.08,3485792.48,3500987.8
47,8106195.24,8169103.0,8298052.08,8241559.26,8266202.32,8215007.56,8331741.1,8042225.0,8299596.34,8126165.92,2362982.52,2356844.26,2356600.36,2354544.54,2349295.2,2337935.24,2340497.56,2360545.56,9803134.52,9774769.32,9785868.6,9813936.2,9795030.6,9777823.44,9801446.6,9803432.36,9806601.72,9770872.76,3530217.380000001,3503914.52,3506621.68,3519405.12,3517083.6,3511245.36,3498985.62,3516079.76,3491064.04,3511711.6
48,8153071.24,8181743.0,8365417.96,8267725.16,8277719.48,8256680.479999999,8352612.6,8059783.0,8332487.56,8161746.24,2362930.68,2359701.04,2361157.68,2359182.16,2360080.2,2346557.36,2350703.8000000003,2360211.96,9802653.84,9795341.84,9803739.0,9822947.28,9810820.24,9791254.0,9819069.0,9819994.76,9825117.56,9789359.96,3536220.88,3514834.48,3513763.08,3523870.32,3526628.6,3523433.52,3516798.12,3533427.04,3509053.12,3518338.92
49,8205340.44,8198503.0,8378945.04,8313960.779999998,8293196.6,8275814.539999997,8392995.9,8114900.5,8365706.34,8229325.92,2370785.36,2361902.52,2361302.16,2359148.08,2370680.2,2360122.72,2356929.02,2363759.58,9824576.4,9807863.28,9804135.8,9837145.24,9818457.12,9804433.52,9821426.2,9821035.92,9833611.56,9803194.22,3535907.44,3524418.34,3525565.32,3535930.88,3536110.2,3533104.96,3525085.6,3545610.6,3513947.68,3518336.04
