,398_1_www.opodo.de,398_2_www.opodo.de,398_3_www.opodo.de,398_4_www.opodo.de,398_5_www.opodo.de,398_6_www.opodo.de,398_7_www.opodo.de,398_8_www.opodo.de,398_9_www.opodo.de,398_10_www.opodo.de,399_1_www.opodo.de,399_2_www.opodo.de,399_3_www.opodo.de,399_4_www.opodo.de,399_5_www.opodo.de,399_6_www.opodo.de,399_7_www.opodo.de,399_8_www.opodo.de,399_9_www.opodo.de,399_10_www.opodo.de,400_1_www.opodo.de,400_2_www.opodo.de,400_3_www.opodo.de,400_4_www.opodo.de,400_5_www.opodo.de,400_6_www.opodo.de,400_7_www.opodo.de,400_8_www.opodo.de,400_9_www.opodo.de,401_1_www.opodo.de,401_3_www.opodo.de,401_4_www.opodo.de,401_5_www.opodo.de,401_6_www.opodo.de,401_7_www.opodo.de,401_8_www.opodo.de,401_9_www.opodo.de,401_10_www.opodo.de
30,342563.0,330665.2000000001,446678.0,435856.20000000007,5286044.399999999,293415.0000000001,351955.0,337315.6,5264325.6,5840813.2,1640653.0,1652392.0,1654376.6,1626817.8,1628025.0,1615162.9999999998,1642009.0,1649571.0,1671341.6,1624688.4,1322447.0,1351040.8,1320001.0,1324894.2,1314319.8,1328792.6,1317490.4,1312253.4,1307656.8,1396319.6,1357730.0,1313430.4,1362928.2,1358955.4,1327047.2000000002,1322676.6,1333257.0,1345941.0
31,347921.0,360024.1000000001,459424.2,452156.6,5643053.72,335099.86,388171.3000000001,373302.72,5361072.68,5876070.94,1683133.44,1688066.44,1659594.4,1648909.96,1649464.24,1643404.18,1675833.5,1667807.1,1685111.82,1641511.12,1327063.6,1389826.56,1324339.76,1333419.28,1334562.6399999994,1349021.34,1327641.96,1350549.82,1337552.06,1395519.6,1363192.9,1339632.76,1360343.32,1364231.82,1346292.04,1332496.2000000002,1343295.74,1352925.8
32,369780.0,387668.52,460793.4,461430.04,5685052.72,361916.4,398168.6000000001,391935.24,5385493.5200000005,5949135.68,1688926.4,1695067.52,1697734.08,1673450.5600000003,1669335.32,1658908.2,1684278.0,1691868.4,1693373.56,1655124.92,1353481.3199999998,1396608.52,1361133.44,1332687.44,1374933.6,1359896.88,1340406.44,1369591.04,1365408.56,1403038.36,1362154.8,1354208.0,1377104.16,1375413.04,1366244.52,1371504.32,1345794.76,1378994.8
33,396239.0,406899.68,461722.8,486797.84,5847277.72,407175.92,427280.7,426167.6,5690545.04,5986341.62,1693327.96,1695032.4399999997,1705993.36,1696508.96,1687648.7200000002,1680612.74,1691751.0,1693081.3,1693948.44,1676228.36,1390739.3999999985,1392578.04,1382399.8,1353999.52,1387888.16,1358792.92,1351230.04,1374485.06,1364422.52,1421608.2,1390838.7,1362103.54,1394091.04,1398727.26,1389937.54,1391725.28,1377754.6,1391610.2000000002
34,408184.0,427186.32,463971.6,539390.64,5932776.560000001,426330.68,457999.8000000001,434874.16,5800778.92,6027061.88,1704299.4,1707974.7599999998,1710578.72,1694762.12,1696788.12,1696156.52,1697103.0,1695738.4,1698472.32,1690365.76,1394473.68,1422803.68,1386261.76,1363941.36,1389262.6,1374904.4,1374894.56,1382673.84,1373950.2000000002,1432609.52,1404122.6,1364462.48,1398055.28,1405431.3999999994,1398450.16,1390430.16,1399137.84,1401432.2
35,439239.0,462335.9,473725.0,592834.4,5994312.8,439603.7,460677.0,453199.4,6103285.0,6034717.2,1699709.6,1720778.2,1723378.2000000004,1712281.2,1702227.2,1706096.9,1694409.0,1712399.0,1710399.7,1701658.8,1394990.6,1425642.7999999996,1399846.4,1384551.0,1392085.4,1398762.0,1385062.4,1389239.8,1379642.1,1440686.4,1418494.5,1360671.3,1413555.0,1419639.7,1408468.1,1396496.2,1403800.1,1401796.0
36,457994.0,461103.24,487577.6,635983.24,5997522.6000000015,461126.32,460462.4,460602.76,6325474.52,6075284.32,1716644.96,1731969.12,1742481.8,1719479.24,1704994.36,1702900.72,1697247.0,1727343.0,1726527.68,1705531.12,1418726.6,1427827.24,1412360.56,1396642.28,1408990.48,1406422.2400000002,1403526.16,1404066.4,1400458.24,1449298.72,1420746.4,1372702.72,1418902.28,1430479.32,1418351.96,1415211.4,1414320.72,1401842.4
37,471049.0,464423.92,488715.8,674717.16,6028044.92,460318.56,477866.8000000001,462143.06,6330583.3599999985,6151630.94,1737354.84,1736958.64,1738936.96,1728539.24,1720691.32,1722073.06,1720291.0,1735122.2,1741747.3400000003,1709754.22,1433370.32,1434432.72,1419014.4400000004,1420008.6,1419542.52,1412380.18,1411861.2,1421345.16,1406285.22,1453615.32,1429661.3,1406110.24,1424598.24,1432682.62,1424944.86,1426476.28,1410224.98,1423037.0
38,492109.0,463845.28,496650.0,708303.7999999998,6049524.039999999,461842.32,484760.4,461272.92,6353540.52,6211499.72,1739708.68,1738175.08,1734522.84,1738463.08,1730997.4,1733473.64,1734123.0,1740617.8,1744550.16,1719384.72,1438879.56,1443705.36,1427063.28,1426638.8,1421120.28,1420620.04,1421773.0000000002,1426173.24,1417462.2,1456981.32,1435866.0,1424804.0,1429426.64,1444880.44,1433195.5600000003,1436186.12,1419724.9200000004,1432624.8
39,490475.0,467962.24,500892.2,764862.76,6275193.679999999,484049.72,489122.8,465004.12,6417070.44,6281039.6400000015,1745279.24,1741034.56,1759411.12,1740818.68,1729506.64,1731848.92,1737803.0,1748084.1,1750914.36,1724230.06,1437626.04,1445382.48,1439009.36,1435054.24,1436477.84,1427487.88,1421361.84,1431984.22,1430298.26,1473744.36,1444728.9,1435251.48,1435968.92,1457930.2,1443811.52,1442174.36,1430669.16,1445461.2
