,314_1_www.chefkoch.de,314_2_www.chefkoch.de,314_3_www.chefkoch.de,314_5_www.chefkoch.de,314_6_www.chefkoch.de,314_7_www.chefkoch.de,314_8_www.chefkoch.de,314_9_www.chefkoch.de,314_10_www.chefkoch.de,315_1_www.chefkoch.de,315_2_www.chefkoch.de,315_3_www.chefkoch.de,315_5_www.chefkoch.de,315_6_www.chefkoch.de,315_7_www.chefkoch.de,315_8_www.chefkoch.de,315_9_www.chefkoch.de,315_10_www.chefkoch.de,316_1_www.chefkoch.de,316_2_www.chefkoch.de,316_3_www.chefkoch.de,316_4_www.chefkoch.de,316_5_www.chefkoch.de,316_6_www.chefkoch.de,316_7_www.chefkoch.de,316_8_www.chefkoch.de,316_9_www.chefkoch.de,316_10_www.chefkoch.de,317_1_www.chefkoch.de,317_2_www.chefkoch.de,317_3_www.chefkoch.de,317_4_www.chefkoch.de,317_5_www.chefkoch.de,317_6_www.chefkoch.de,317_7_www.chefkoch.de,317_8_www.chefkoch.de,317_9_www.chefkoch.de,317_10_www.chefkoch.de
30,2966474.400000001,2976195.8000000007,2663933.4,2840129.8000000007,2818246.6,3136285.8,2789419.8,2813811.0,2885106.4,2894009.7999999993,2633988.0,2986451.6,2794757.2,2509296.2,2745350.0,2585046.2,2587837.0,2746455.8,2486398.8000000003,2236679.4000000004,2429023.4,1940425.0,2083692.8,1920280.0,1895680.4,1839532.0,1661442.6000000003,1780097.2,2764923.2,2818569.0,2293722.2,2435377.6,2411619.4,3027745.0,2780904.0000000005,3138292.0,2930988.6,2869734.4
31,3029218.48,2983346.84,2683196.42,2868219.78,2841355.68,3200996.36,2840932.04,2940114.04,2898426.64,3009045.28,2686605.0,2990165.18,2806413.84,2539280.24,2777146.2,2623648.2,2659453.8,2769194.560000001,2505462.84,2304065.12,2481952.0,1962647.0,2120737.88,1933065.0,1938739.48,1845018.7,1668657.6000000003,1804108.84,2799055.14,2828077.6,2298476.1,2455851.24,2426989.56,3077908.6,2960767.8,3214847.9,2942953.94,2970425.16
32,3054283.12,3016774.52,2715433.76,2904973.56,2871554.24,3207575.12,2844359.2,2957474.04,2949183.96,3052455.4,2719715.0,3021660.0,2854889.08,2566278.28,2925043.8,2639656.04,2689661.8000000003,2818329.88,2551682.28,2344789.48,2585466.36,2035376.0,2361999.88,1977632.0,1951385.8,1883395.2,1734044.36,1802635.6,2827319.3200000008,2848398.8,2309687.24,2466877.12,2444729.56,3147840.4,2995746.44,3275193.8000000007,2975308.76,3005995.36
33,3072946.56,3038423.64,2802614.36,2962609.02,2915269.0400000014,3294212.96,2931326.92,2995944.94,2949747.92,3209734.92,2733025.0,3093962.64,3004506.38,2638610.72,2967419.8,2711888.08,2710735.0,2905472.52,2549471.2800000003,2465052.08,2600385.24,2074541.0,2384275.22,2063143.5,2009104.04,1905622.4,1747642.16,1842301.98,2907911.74,2899188.4,2344715.96,2494764.82,2452693.12,3205174.0,3045438.04,3371390.3,3057110.94,3037840.14
34,3248066.12,3099898.76,3037795.44,3013679.92,2956831.4800000004,3336827.24,3030372.48,3007306.8,2988519.56,3255678.44,2773547.0,3180510.52,3024210.04,2659180.36,2997757.4,2741542.92,2851790.8,2913140.92,2644039.84,2501561.8,2633288.88,2303332.0,2433303.84,2243953.0,2068250.16,1956452.4,1751478.6000000006,1894706.5600000038,2968634.36,3024215.2,2355444.52,2525585.56,2467398.48,3348371.2,3198157.92,3474778.4,3067948.4,3081971.72
35,3324635.6,3200054.4,3045362.8,3034209.7,2993247.0,3356634.2,3032769.4,3050899.7999999993,3162495.0000000005,3314384.4,2855227.0,3259237.2,3047071.9,2695229.8,3004179.0,2831105.8,2951365.5,2971533.400000001,2659416.8,2541129.4,2664308.2,2386538.0,2449165.1,2339118.0,2106606.2,1997857.5,1780926.8,1917008.1,3034047.7,3041953.0,2413286.399999999,2552313.6,2486615.8,3358543.0,3258067.4000000013,3509051.5,3123241.2,3148268.0
36,3341182.68,3208257.64,3056781.44,3078716.08,3032720.88,3402427.2,3081455.84,3129341.24,3191515.92,3328287.48,2862454.0,3297707.44,3070035.12,2752133.44,3049914.2,2859121.6,3046426.0,3052368.92,2720464.84,2560589.28,2670581.399999999,2427138.0,2467653.64,2347567.0,2140604.88,2047207.4,1778827.96,1977997.04,3078178.76,3065207.8000000007,2649775.48,2799960.6,2508603.76,3398775.2,3314870.24,3665706.2,3148405.68,3176935.92
37,3368815.04,3236569.32,3193261.58,3108965.06,3049408.04,3433931.64,3135993.08,3244538.88,3267798.48,3527601.44,2874181.5,3314548.54,3081428.22,2806216.4799999995,3107467.2,2886631.6,3099525.9,3065665.2,2852477.88,2629893.88,2714319.88,2446334.0,2533512.8400000003,2384538.5,2164149.56,2270768.2,1925903.5200000003,2049288.22,3133318.5200000005,3175445.0,2673402.74,2821132.66,2732360.92,3450360.0,3322916.04,3728686.6,3162555.38,3189859.18
38,3559661.16,3248536.76,3189607.12,3137353.56,3072095.64,3573893.72,3213322.04,3266153.840000001,3340078.48,3595943.04,2885775.0,3404640.92,3107541.48,2832621.16,3115444.4,2904263.96,3158670.6,3094285.36,2879458.52,2831128.3999999976,2808084.6,2583837.0,2550231.92,2423465.0,2238845.8400000003,2328635.8,2037210.76,2084897.32,3186425.08,3201549.9999999995,2687614.6,2839161.92,2778231.76,3527950.4,3351537.36,3776026.8,3265236.44,3219438.32
39,3677525.2,3318298.1600000006,3219121.64,3310888.12,3100661.4,3640079.2000000007,3353605.2400000007,3285065.74,3385740.32,3604256.24,2898686.0,3499341.98,3157674.22,2855709.16,3125593.600000001,3001150.96,3166011.3,3126151.56,2902628.04,3058806.6,2827469.16,2590878.0,2584094.78,2462466.5,2439459.24,2343583.8000000003,2075698.0,2105343.06,3234999.0,3255837.0,2777098.64,2919419.44,2830726.08,3571361.0,3426090.56,3944044.2,3340369.36,3286786.62
