,133_1_www.android.com,133_2_www.android.com,133_3_www.android.com,133_4_www.android.com,133_5_www.android.com,133_6_www.android.com,133_7_www.android.com,133_10_www.android.com,134_1_www.android.com,134_2_www.android.com,134_3_www.android.com,134_4_www.android.com,134_5_www.android.com,134_6_www.android.com,134_7_www.android.com,134_8_www.android.com,134_9_www.android.com,134_10_www.android.com,135_1_www.android.com,135_2_www.android.com,135_3_www.android.com,135_4_www.android.com,135_5_www.android.com,135_6_www.android.com,135_7_www.android.com,135_8_www.android.com,135_9_www.android.com,135_10_www.android.com,136_1_www.android.com,136_2_www.android.com,136_3_www.android.com,136_4_www.android.com,136_5_www.android.com,136_6_www.android.com,136_7_www.android.com,136_8_www.android.com,136_9_www.android.com,136_10_www.android.com
32,528492.2000000001,335482.8,523149.15999999974,481114.4799999999,551495.32,457169.1599999999,677896.2,540857.6,144192.96,196318.2,162439.16,139485.12,188873.56,155819.28,175956.6,81428.0799999999,141887.08,152404.67999999993,244135.99999999997,223686.92,267931.04,316785.2,343686.87999999995,288573.5600000001,296133.64,255436.88,294520.28,232179.92,155422.8,152800.0,118469.59999999995,162902.0,152056.04,162601.24,276732.84,171432.00000000006,150429.24,155144.04000000007
33,589713.4,359834.1999999999,544121.22,543686.88,634702.5599999997,493255.2799999999,725072.4400000002,589304.68,144914.08000000002,218306.60000000015,167149.92,141214.80000000002,195547.9,182727.1999999999,186574.20000000013,88311.72,148488.44,153419.68,254717.0,222624.36,310670.1599999997,358849.7200000001,370183.28,304724.26,327064.28,257174.28,315981.08,241901.1,155977.4,152273.0,121599.59999999995,192537.4,158885.08,174529.83999999994,277890.44,181982.00000000003,167894.56,171397.08
34,605560.0000000001,441339.0800000001,615047.08,595397.4800000001,681238.6,559855.12,768617.84,652375.76,153482.0,249721.80000000005,172180.4,149008.84000000005,205244.0,186763.64,231617.0,91414.59999999996,153920.0,153222.92,288174.4,223779.36,341909.76,386621.2,393299.44,371140.96,354044.83999999985,280119.4,334788.88,288324.39999999985,155018.4,152931.0,150005.99999999968,204566.00000000003,161130.48,177999.04,292373.36000000004,203242.8000000001,170523.03999999998,188095.84
35,620414.0,532013.7,645460.7,675722.1999999996,724708.6,624950.3999999999,819687.0000000001,725988.2000000002,153932.2,258035.0,177182.0,149692.4,210869.6,185910.2,250423.0,98866.9,155535.2,165900.99999999994,300654.0,235458.5,382927.5999999999,419002.20000000007,412868.79999999993,390956.4,370573.0,312791.8000000001,363347.2,323076.1999999999,156863.0,154081.0,169434.0,228182.0,193604.19999999995,181367.2,311769.80000000005,209073.0,170891.4,206630.0
36,681312.0000000005,627671.3199999995,676732.12,757779.3999999997,767571.9599999998,663290.52,883895.48,778133.12,180861.88,281797.8,210988.64,167125.00000000006,211479.12,187883.16,266717.0,109274.63999999998,185999.44000000003,171225.44,332608.99999999977,255069.28,425897.04,442208.20000000007,437129.88,421041.44000000006,380373.4,354309.44,407370.36,343493.16,158435.8,153949.0,185611.4,242822.2,207818.36,183619.36,328570.48,210869.80000000005,187139.96,228990.51999999996
37,724801.8000000002,726458.8600000001,720291.6799999996,808547.36,824991.44,706969.8799999999,915937.16,859699.68,187373.92000000004,302770.2000000001,210211.06,170295.68,212440.42,189016.96,270591.8,146143.51999999993,190465.44,175702.96,391447.0,272057.1,471107.0799999999,494882.5400000002,461288.92,448400.48,389326.32,394358.92000000033,459822.7199999999,397291.8,186931.80000000005,155870.0,186788.8,266942.2,224959.60000000024,190198.8,350331.4,222386.80000000005,187927.32,243948.16000000003
38,800794.3999999998,798610.6399999999,770880.5599999998,867351.079999999,890256.3999999992,786431.56,961608.84,911776.5600000005,190050.96,305790.2,212001.32,174337.16000000006,211763.12,201754.48,282789.6,159938.47999999998,196447.64,180040.4,449129.4000000001,285445.8,520294.12,540746.72,514159.75999999966,475377.88000000006,410272.28,458794.48,523162.6000000002,428237.1599999997,199069.6,167959.0,189453.8,283192.6,236731.1200000001,219203.16000000003,352049.72,230915.8000000001,207432.67999999996,268587.2000000001
39,883649.8000000005,872242.08,833610.04,910791.6399999995,949131.52,811336.4,1026716.9,961771.98,192460.12,331240.80000000005,213456.42,187199.88,213794.7,234729.4799999998,302832.4,177343.92,223324.79999999987,209264.23999999987,509956.8,320414.9999999998,570209.12,590645.3800000002,554319.0599999999,499778.14000000025,431410.6,484816.4,552930.2,472074.84,231135.40000000005,182232.0,191290.3,317185.6,253197.32,239368.24,362032.48,251113.4000000001,226034.04,289302.7600000001
40,937981.0,950000.5999999994,886105.0,990500.8,983637.4,873594.6000000003,1071180.4,999906.2,191792.6,365309.0,219368.00000000003,186830.2,219745.00000000003,248707.59999999995,303713.0,210413.99999999977,234572.2,248643.99999999988,564292.0,353561.6,618849.4,658971.7999999999,609411.2000000002,524602.0000000001,454328.4,537791.2,592164.8,499037.79999999976,252486.0,198016.0,223064.0,316437.0,273459.4,263310.4,373751.4,275389.0,232757.4,304228.6
41,973791.8,1044632.72,958808.0199999996,1069602.36,1054081.799999999,965988.16,1117573.88,1036974.4600000004,193805.72,366366.2,249805.28000000003,188522.60000000003,226178.94,258586.8,312836.4,228670.7,250699.92,262251.36,615655.8000000003,381448.24,655964.46,673020.0800000001,642613.5599999999,561459.6,503236.7999999997,583210.24,628578.32,541496.1199999996,272519.4,224364.0,236382.5,318527.4,274631.84,269674.2,440917.6000000002,287734.0000000001,269175.95999999985,316483.08
42,1041489.4,1127155.8,1003888.9599999995,1100094.56,1099796.92,1036340.08,1213017.08,1073452.88,195443.28,369036.2,266101.0,190849.64,241608.12,269009.28,320534.8,240071.8,254520.16,267229.96,654640.2,401156.88,676751.96,688800.64,664366.72,589166.8400000001,559267.64,641894.64,666470.44,580096.4400000002,274929.0,250469.0,242813.59999999995,337672.4,314898.8,278311.8,466842.64,309043.6,302519.67999999993,318213.88
43,1086026.6,1204904.4599999995,1049446.92,1176083.2799999998,1156823.5599999998,1123782.72,1242086.28,1119748.36,200094.28000000023,369504.6,271492.4,196592.80000000005,259570.92000000004,272786.6,339141.2,252478.1,261320.32,271312.72,671938.6,433432.38000000006,686444.88,709726.1600000003,676515.76,613927.7200000001,629610.9599999995,676753.32,676894.64,644100.7999999999,298507.4,259542.0,274195.59999999986,344550.0,331133.8,313425.04000000004,466997.88,311545.0,317325.44,334148.04
44,1165362.6,1277317.28,1119430.1599999992,1233137.52,1198310.1999999995,1207144.9199999995,1310892.92,1158464.56,243939.72000000012,371781.0,272931.04,231618.24,275553.7200000001,275921.24,356071.79999999993,258251.4,278613.15999999986,278414.24,676503.9999999999,472849.9999999997,696153.76,715459.76,694767.72,639760.2,667155.64,697431.0000000002,685203.2399999999,654993.52,308413.0,279314.0,311708.4,350684.2,346562.80000000005,333758.1600000001,468656.12,327065.80000000005,338816.3200000001,350822.56
45,1255822.0,1360824.9,1212840.6999999995,1289853.2,1273203.4,1284779.8,1361534.200000001,1193098.7,262642.8000000002,373689.0,273191.2,260135.40000000005,284208.1000000001,279580.4,365870.0,267279.19999999995,282955.2,294985.6,692721.5,484806.5999999994,721189.0,717334.1,712470.2,676814.8,676389.8,704037.2,720597.6000000002,675596.8,322567.0,316555.0,326859.99999999994,353856.0,349900.2,343547.1999999998,468545.4,338628.00000000035,344996.8,350849.6
46,1342343.4000000006,1451470.519999999,1297984.3199999998,1303136.08,1339994.7999999998,1343894.04,1420109.28,1280078.48,269143.32,374287.4,276079.04,271370.32,295560.04,290725.72,367233.6,272306.72,303661.96,294689.0,720265.2,554453.7599999999,721336.48,720155.52,721688.16,693217.36,685057.76,721528.76,722205.48,684232.76,331969.2000000003,323236.0,335641.0,353259.4,352981.12,360060.44,472261.4,352003.8,345035.48,353277.6
47,1393157.0,1458585.52,1381063.3599999994,1359574.92,1405422.04,1432541.9600000004,1480801.58,1367454.5400000005,275037.24,375703.0,279413.28,272697.76,297199.98,296493.28,369470.6,274673.8,305402.72,310115.6,720420.8,598880.08,723459.34,720347.34,723371.78,720025.34,694627.56,723246.92,723714.92,695154.1199999999,353181.0,349389.0,355153.6999999999,364285.0,355105.2,360396.0,472331.56,359592.8000000001,347535.2,365747.68
48,1435205.6,1471451.2,1455186.92,1440076.0799999996,1493694.48,1484787.4,1525271.52,1466858.6800000004,286849.6,376048.4,279491.96,275875.16,313322.04,301771.19999999995,369760.2,304157.8,318653.56,325603.5999999996,722065.6,637454.4,725349.76,722073.76,725827.72,721823.96,719020.52,725274.8400000002,726180.44,720405.08,367375.8000000001,351589.0,369577.4,371836.4,364977.8,370572.6,476280.92,368024.60000000015,347635.67999999993,371430.52
49,1495899.6000000003,1514471.4399999997,1518555.6599999997,1520339.36,1531999.48,1563005.84,1553152.32,1532130.7600000002,295562.76,377560.4,282743.22000000003,294455.92,346616.78,310923.6,369928.0,320141.39999999985,338591.92,351166.28,724419.4,684974.16,725802.64,722643.78,728328.38,723635.82,721495.72,727850.4,726696.48,721998.48,371336.6,368200.0,380631.0,386982.2,371187.56,379013.96,478998.08,397803.00000000023,363257.92,391203.16
