,90_1_www.theguardian.com,90_2_www.theguardian.com,90_3_www.theguardian.com,90_4_www.theguardian.com,90_5_www.theguardian.com,90_6_www.theguardian.com,90_7_www.theguardian.com,90_8_www.theguardian.com,90_9_www.theguardian.com,90_10_www.theguardian.com,91_1_www.theguardian.com,91_2_www.theguardian.com,91_3_www.theguardian.com,91_4_www.theguardian.com,91_5_www.theguardian.com,91_6_www.theguardian.com,91_7_www.theguardian.com,91_8_www.theguardian.com,91_9_www.theguardian.com,91_10_www.theguardian.com,92_1_www.theguardian.com,92_2_www.theguardian.com,92_3_www.theguardian.com,92_4_www.theguardian.com,92_5_www.theguardian.com,92_6_www.theguardian.com,92_7_www.theguardian.com,92_8_www.theguardian.com,92_9_www.theguardian.com,92_10_www.theguardian.com,93_1_www.theguardian.com,93_3_www.theguardian.com,93_4_www.theguardian.com,93_5_www.theguardian.com,93_6_www.theguardian.com,93_7_www.theguardian.com,93_9_www.theguardian.com,93_10_www.theguardian.com
20,1649046.2,1583733.2,1597317.8,1614939.0000000002,1700358.2,1686434.2,891256.0,1509515.2,1672785.0,600430.0,1567706.6,1621844.0,1588376.2,1635910.4,1641108.8,1967348.4,1989808.4,1624329.6,1626156.0,1656546.0,18813.0,21157.4,17100.2,20414.6,20707.6,85736.0,20552.6,12519.0,25750.999999999996,13529.2,34929.200000000004,36868.2,27037.2,32296.800000000007,32355.59999999999,31655.4,31229.6,31250.0
21,1651724.68,1709656.6,1629306.56,1694922.92,1805985.18,1760506.54,897121.7,1599066.64,1728790.5,676548.6,1630998.9599999997,1691794.58,1644788.04,1667020.96,1672007.96,1989447.2,2004905.56,1669904.18,1655869.56,1714487.74,18355.200000000004,21007.98,15758.48,19579.8,20585.62,83701.58,22899.12,13797.0,25840.2,13709.2,38541.76,39564.11999999999,29157.16,34153.12,33174.62,33892.16,33017.54,30084.6
22,1727098.96,1713556.44,1683621.8,1716676.84,1821270.08,1785060.4399999997,901512.8,1633372.52,1796236.0,739632.4,1674613.64,1799062.9600000004,1734331.4,1688639.52,1692528.48,2035781.08,2032040.88,1699947.44,1674725.2000000004,1729539.6800000004,17106.2,22859.84,16439.679999999993,18880.64,22571.32,85430.31999999999,22783.36,20801.0,25090.279999999995,18697.639999999992,40701.08,43240.96,33500.48,33793.36,35770.84,33384.88,37091.84,32039.6
23,1752738.8,1743319.94,1695983.28,1788656.32,1828210.12,1800400.58,920734.4,1701194.72,1803023.0,790219.7000000002,1693145.4,1830782.28,1809250.52,1705752.06,1738938.14,2044549.92,2051761.36,1712601.8399999996,1697276.92,1836081.56,18889.4,22861.200000000004,19735.44,20799.44,25356.74,89521.08,24855.26,20366.0,26920.88,20315.04,40701.22,43261.64,37960.32,33285.020000000004,37707.9,35226.28,37298.95999999997,32410.9
24,1771800.28,1815492.0,1808608.76,1805934.8,1850460.52,1951544.2,939582.8,1730108.68,1809447.0,817552.7999999992,1703585.24,1849918.4,1824033.76,1813133.36,1769499.36,2064690.52,2069817.92,1782064.32,1768263.44,1852608.28,20220.599999999988,25066.08,19723.16,22998.64,24814.52,91805.08,24364.08,19076.0,30996.44,19015.36,42916.92,43290.44000000002,37562.68,35349.64,41773.28,39204.68,39614.12,34563.399999999994
25,1919393.0,1875324.0,1826825.0,1820111.0,1875694.0,2010183.0,944714.0,1746586.0,1818098.5,919137.0,1731026.9999999998,1877349.5,1839236.5,1841738.0,1843585.5,2082000.0,2162116.0,1799481.5,1812344.0,1881202.0,20899.0,25289.0,19507.0,22758.0,24084.5,95278.0,25894.5,19926.0,30325.0,18554.0,43544.0,45052.0,42029.0,39443.5,42029.5,41168.0,41428.5,41121.5
26,1987804.44,1888466.92,1933500.36,1842094.24,1919116.2,2099124.76,954454.6,1759915.4,1865095.0,1054472.6,1838742.3999999997,1907208.36,1888852.36,1882280.84,1917084.24,2119097.12,2211765.08,1810130.16,1859294.68,1897766.08,23308.400000000005,27609.24,22021.44,24703.52000000001,27077.60000000001,95259.24,27387.24,20752.0,31801.8,20624.84,44629.56,48045.83999999998,42273.96,41577.88,43609.88000000002,40813.32,41840.88,43521.8
27,2006393.64,1909827.3,2002082.72,1854530.44,2029103.22,2135849.96,1008143.2000000008,1841197.76,1948558.5,1148442.0,1862470.64,1929329.22,1919761.58,1898026.32,1970260.48,2178236.08,2228466.28,1863004.76,1871615.36,1919751.02,23327.8,26981.12,21247.400000000005,24678.28,29490.12,112640.42,26907.679999999997,22043.0,40406.44,22861.16,43279.22,49046.44,41903.960000000014,43708.26,44260.26,43379.68,44010.9,43428.1
28,2058865.56,1942682.44,2051444.84,1911625.4,2085425.44,2202940.32,1163485.4,1864841.48,2001849.0,1168866.6,1891602.04,1970150.92,1934557.68,1910729.52,1977356.28,2246851.4400000004,2258778.56,1880303.56,1894806.16,1980872.72,22876.2,27741.52,21701.39999999999,23982.72,31394.88,116028.71999999994,27392.48,22869.0,39811.44,22732.52,42613.60000000003,47695.16,41801.52,43673.64,47476.39999999999,43313.08,43741.8,43352.4
29,2103524.2,2039228.2799999984,2076306.16,2007519.16,2103523.96,2216614.76,1199848.0000000002,1952112.64,2052820.5,1172447.3,1917030.04,1982747.18,1949670.44,1929042.58,1994787.86,2280821.48,2280367.44,1890370.86,1938104.52,2022962.92,22093.6,37115.56,22969.04,25718.8,31513.34,117787.52,36824.56,24474.0,40581.960000000014,23014.959999999995,51886.56,45758.28,44986.2,43257.18,49924.02,42000.2,46890.98,43258.7
30,2108317.2,2093214.6,2103899.2,2131092.4,2113995.2,2225515.6,1238021.0,2016675.6,2078658.0,1225533.0,1939196.6,2005721.8,1975088.6,1995611.8,2009494.0,2302900.4000000004,2293803.4,1908089.2,2004865.2,2077699.8,25737.0,39345.60000000001,24001.2,27191.4,38975.400000000016,118972.6,36440.4,25473.0,41344.8,25392.6,53223.20000000002,49123.99999999999,45368.6,43316.99999999999,49326.4,47180.20000000002,46178.6,46186.0
31,2114151.72,2112104.88,2171290.56,2141502.16,2166358.86,2235661.74,1251622.7,2043581.4,2084817.5,1234143.1,1961763.08,2039054.62,1983962.66,2026315.04,2021546.34,2336324.48,2315584.48,1925103.76,2016751.08,2099818.94,29480.6,39110.74,23523.92,27085.880000000005,43305.1,120399.5,38208.18,25094.5,54366.88000000005,24763.92,53112.32,54052.400000000016,48359.16,49918.28,48843.90000000001,49188.76,45739.62,45966.7
