,326_1_www.wetteronline.de,326_3_www.wetteronline.de,326_4_www.wetteronline.de,326_5_www.wetteronline.de,326_6_www.wetteronline.de,326_7_www.wetteronline.de,326_8_www.wetteronline.de,326_9_www.wetteronline.de,326_10_www.wetteronline.de,327_1_www.wetteronline.de,327_2_www.wetteronline.de,327_3_www.wetteronline.de,327_4_www.wetteronline.de,327_5_www.wetteronline.de,327_6_www.wetteronline.de,327_7_www.wetteronline.de,327_8_www.wetteronline.de,327_9_www.wetteronline.de,327_10_www.wetteronline.de,328_1_www.wetteronline.de,328_2_www.wetteronline.de,328_3_www.wetteronline.de,328_4_www.wetteronline.de,328_5_www.wetteronline.de,328_6_www.wetteronline.de,328_7_www.wetteronline.de,328_8_www.wetteronline.de,328_9_www.wetteronline.de,328_10_www.wetteronline.de,329_1_www.wetteronline.de,329_2_www.wetteronline.de,329_3_www.wetteronline.de,329_4_www.wetteronline.de,329_5_www.wetteronline.de,329_6_www.wetteronline.de,329_7_www.wetteronline.de,329_8_www.wetteronline.de,329_9_www.wetteronline.de,329_10_www.wetteronline.de
30,4408470.8,4643886.8,4070305.8,4272030.6,4164216.0,4069343.2,4277503.6,4814183.4,4120452.4,3381597.6,3357031.0,3366986.4,3528367.8,3354904.6,3235212.8,3101843.2000000007,3276267.8,3321593.4,3352465.0,3438971.2,3517924.4,3606209.6,3238087.3999999994,3536658.4,3411669.4,3219581.0,3462221.4,3369936.8,3174639.0,3786974.6,3159565.0,3694421.8,3282440.6,3605096.6,3447705.400000001,4127128.0,3423347.0,3359433.6,3495636.0
31,4445927.06,4699827.32,4252217.92,4309435.92,4182911.0,4169632.02,4297860.68,4861002.7,4272190.86,3394879.56,3394487.92,3392815.14,3535178.54,3458587.18,3274290.92,3144672.48,3283037.88,3335461.7199999993,3462068.0,3451884.88,3525907.16,3644134.320000001,3278058.06,3675802.4,3469740.68,3335516.6,3476373.680000001,3395183.28,3353253.6,3834255.48,3473265.600000001,3790007.36,3345675.400000001,3686086.72,3466568.2800000007,4145620.2,3434980.0000000005,3399699.6,3639933.0
32,4464694.48,4748404.0,4289271.72,4362382.6400000015,4293236.6,4189573.4,4380668.28,4946012.36,4288378.88,3453276.6,3416095.8,3416721.3200000008,3565189.04,3465371.48,3333285.6,3194736.52,3308399.56,3364669.24,3514061.2,3509956.2800000007,3560174.36,3775215.32,3312373.36,3771431.96,3511906.76,3361423.96,3531485.16,3413626.32,3542496.4,3916909.8,3692166.2,3797107.32,3632709.72,3718605.84,3495557.84,4174644.8,3517606.6,3425275.52,3650461.0
33,4504453.18,4759839.6,4313699.08,4434140.96,4338472.4,4218593.04,4404978.4,4957017.26,4313265.72,3527465.92,3422248.22,3452841.2,3604191.06,3489945.68,3338262.94,3199656.72,3333001.56,3412340.96,3533113.3,3577168.56,3564206.879999999,3823157.6,3318555.1599999988,3850018.24,3594203.4,3460492.04,3545728.08,3450043.48,3557703.4,3926056.04,3718165.3,3872597.08,3765113.82,3743922.72,3513830.36,4189090.8,3561210.5,3444149.32,3750576.0
34,4562732.2,4779042.96,4321878.76,4462116.08,4372556.8,4322131.64,4439517.96,5008403.08,4324817.36,3537206.24,3438241.12,3475683.28,3628005.56,3503256.84,3345911.68,3219275.56,3414125.72,3436210.12,3622640.4,3595292.920000001,3586224.76,3871169.12,3359756.72,3888264.28,3607663.88,3482815.52,3582859.48,3460642.56,3587266.2,3950822.44,3758577.6,3919514.32,3805665.52,3752586.56,3545165.64,4302238.6,3566256.8000000007,3460156.04,3774804.0
35,4613885.3999999985,4804500.6,4367805.799999998,4502107.2,4402917.0,4334937.8,4477274.6000000015,5029188.1,4338831.9,3580841.0,3444678.8,3514701.3,3646141.1,3529495.6,3374827.2,3261047.1,3435215.2,3483369.2,3671351.5,3666613.6,3637730.6,3906675.4,3374996.7,3904560.4,3621098.4,3508879.9999999995,3620575.6,3495876.2,3666325.0,3961037.600000001,3762939.5,3925721.8000000007,3828763.1,3813014.8,3579078.6,4319392.0,3587195.0,3510744.7,3808507.0
36,4694315.5200000005,4850212.16,4433645.44,4588163.4,4440652.8,4367565.880000001,4485058.84,5069404.28,4366081.28,3605825.96,3516229.08,3517019.08,3656188.24,3545185.36,3422908.4400000004,3291900.56,3433353.72,3492873.52,3687805.4,3670933.800000001,3655769.24,3933862.92,3389011.6,3991213.08,3643276.88,3525200.72,3647591.68,3560673.44,3684407.0,4082133.84,3818241.0,3959523.04,4001034.44,3884863.2,3578411.32,4360108.8,3655708.0000000005,3531358.52,3824332.0
37,4732178.18,4870297.68,4562211.239999998,4703064.58,4473016.8,4406682.5200000005,4523315.56,5077020.46,4385802.18,3625880.8,3540539.78,3558111.36,3676600.22,3572597.78,3445389.380000001,3309909.86,3444067.18,3499014.4,3699840.1,3693295.72,3675541.04,3959993.76,3441265.24,4058458.64,3645265.36,3573620.52,3702779.12,3574879.72,3744225.8,4096687.28,3928360.5,4004413.88,4175882.98,3932881.28,3600304.92,4387253.0,3679286.4,3568571.92,3850759.0
38,4820141.8,4895701.28,4581531.92,4723627.24,4464383.8,4435478.04,4589229.24,5086302.6,4393180.12,3643599.6,3544179.96,3572256.24,3705614.2,3586748.4,3464019.88,3334635.12,3514606.639999997,3523235.16,3717875.2000000007,3718592.76,3710640.68,4005438.36,3544426.2399999993,4079239.64,3700872.92,3615812.8,3738454.44,3609650.72,3830388.6,4140970.04,4088528.4,4016247.68,4202036.2,3990444.16,3692435.48,4409090.4,3701702.6,3639863.48,3856293.0
39,4831972.199999998,4944752.04,4681007.48,4756846.98,4490286.8,4452146.5200000005,4606429.48,5109228.22,4417617.76,3660956.28,3589689.98,3618966.32,3725730.82,3615311.8,3479949.42,3344709.74,3555536.04,3638839.96,3751252.2,3744304.88,3739379.32,4025223.36,3681449.48,4107466.28,3745515.44,3701375.88,3765392.52,3621641.84,3868275.0,4184811.64,4113049.6,4050201.96,4225713.82,4010295.6,3750585.44,4454520.8,3746253.0,3635930.34,3893776.0
