index,226_1_www.gmx.net,226_2_www.gmx.net,226_3_www.gmx.net,226_4_www.gmx.net,226_5_www.gmx.net,226_6_www.gmx.net,226_7_www.gmx.net,226_8_www.gmx.net,226_9_www.gmx.net,226_10_www.gmx.net,227_1_www.gmx.net,227_2_www.gmx.net,227_3_www.gmx.net,227_4_www.gmx.net,227_5_www.gmx.net,227_6_www.gmx.net,227_7_www.gmx.net,227_8_www.gmx.net,227_9_www.gmx.net,227_10_www.gmx.net,228_1_www.gmx.net,228_2_www.gmx.net,228_3_www.gmx.net,228_4_www.gmx.net,228_5_www.gmx.net,228_6_www.gmx.net,228_7_www.gmx.net,228_8_www.gmx.net,228_9_www.gmx.net,228_10_www.gmx.net,229_1_www.gmx.net,229_2_www.gmx.net,229_3_www.gmx.net,229_4_www.gmx.net,229_5_www.gmx.net,229_6_www.gmx.net,229_7_www.gmx.net,229_8_www.gmx.net,229_9_www.gmx.net,229_10_www.gmx.net
33,1867678.28,1822088.92,1720725.56,1782715.8,1680709.48,1795507.32,1774437.4000000001,1677712.56,1880644.84,1900066.76,1166710.0,974317.68,1000810.08,948848.64,1026379.52,1216661.2,1076769.72,927893.76,898236.3999999999,902582.28,209280.2,173555.6,218900.56,293889.6799999995,166041.08,168811.0,178490.31999999998,184173.88,324109.0,241375.6,244191.08000000007,206512.51999999996,184404.59999999998,256837.2000000003,392775.6,516910.5599999998,514804.28,205644.8,302775.2,266889.6000000001
34,1873803.8800000001,1897149.42,1791230.88,1835360.2000000007,1748730.84,1827168.12,1795015.4000000001,1695565.28,1889590.94,2075345.28,1180572.0,990896.02,1021566.12,950730.1,1031418.86,1232988.58,1085695.78,928209.66,909349.9,907111.88,212722.11999999997,173815.4,218447.6,325196.68,170944.64,172617.0,200454.12,245793.92,327844.0,257962.0,262146.94,237757.26,220182.4,324269.0400000005,445532.6,587109.44,590088.98,229055.91999999998,301752.6,333222.1
35,1900427.04,1937898.9200000002,1833450.68,1906769.4,1790666.56,2002313.24,1804364.8,1729435.1199999999,1980255.88,2180853.64,1180007.0,998440.08,1031454.24,959329.04,1041535.44,1239245.96,1091394.48,954503.44,908286.4,907984.96,244748.24,173027.4,257737.52,326889.96,170561.63999999998,172086.0,199715.8,244975.48,330284.0,291757.8,275751.08,238399.56,225804.64,437344.43999999994,469637.6,585591.92,590896.88,252981.92,300724.2,408072.4400000002
36,1946457.5,1932954.4,1862859.7,1916024.5,1811671.4000000001,2049827.1,1824212.0000000002,1752873.8000000005,1987947.3,2217585.8,1178863.0,1023966.9,1036114.1,965343.4,1048646.7,1235498.9,1093203.2,959231.5,933558.0,912878.6,279126.2,177422.0,290968.8,329979.2,176485.50000000003,182210.0,199844.99999999994,277677.4000000001,333145.0,320238.0,274907.2,237572.0,236709.30000000005,455349.9,496430.0,589484.7,592382.1,252146.4,338304.0,475959.6000000001
37,1955786.6,1941703.36,1868836.84,1946603.6,1823492.32,2143739.48,1988429.2,1759521.0,2012517.48,2224782.96,1190391.0,1031748.8,1066640.16,967169.4800000001,1114961.2,1242054.24,1103531.44,961285.4800000001,937304.2,945965.2,310735.47999999986,193352.79999999996,307292.2,332047.4,188493.96,181491.0,251677.24,324298.56,334643.0,321952.2,291194.7600000001,236782.44,287144.48,493381.07999999996,499111.8,591047.28,593708.52,251270.76,394147.40000000055,480573.84
38,2111995.52,1976342.08,1871778.76,1977146.0,1838999.56,2154830.46,2118981.4,1786192.84,2109257.46,2271796.64,1196769.0,1034298.72,1075224.9200000002,970978.72,1130504.2,1309079.7799999998,1110979.94,969442.9,937290.9,945186.12,325010.96,214523.39999999994,334754.26,362079.0799999999,187763.24,193281.0,251964.67999999996,325920.36,379196.0,326462.4,312994.86,236129.08,286315.34,504554.06,528207.3999999998,600715.32,597454.34,262100.8,472441.3,488222.68
39,2230808.68,2022326.2799999998,1882457.6,1986543.2,1856217.92,2179581.72,2147204.12,1830595.0800000008,2140613.32,2284881.08,1206321.0,1035383.12,1117752.9200000009,987603.32,1170902.64,1325778.28,1132587.04,972039.92,946330.6,950901.68,323913.24,249832.2,333758.52,387720.43999999994,190322.80000000002,192225.0,293254.52,324537.32,388411.0,325918.60000000003,382712.88,310658.5199999998,285549.44,504491.76,566955.4,601373.3200000001,596392.44,304802.63999999996,506981.2,491344.24
40,2406816.92,2054210.7999999996,2040958.96,1998831.4,1947935.8799999997,2229338.4,2159667.6,1994191.12,2218000.94,2317553.6799999997,1229612.0,1074245.28,1165777.1800000002,990190.48,1180912.3600000003,1325348.84,1260811.9,975832.02,953722.3,958865.92,325318.12,249101.1,335089.44,388148.9599999999,232163.84000000005,210430.0,328026.72000000003,325748.24,389461.0,327991.6,416887.56000000006,368301.5599999998,307850.5599999998,550016.3200000004,587267.4,638943.4799999997,607886.82,374503.07999999996,506179.5,495267.04000000004
41,2513646.4,2069831.8,2167836.000000001,2016139.0,2017616.7999999998,2273746.6,2181033.4000000004,2071192.0,2350822.4000000004,2396396.2,1253781.0,1076399.6,1174133.0,998871.2,1194384.8,1325825.4,1439724.6,977589.0000000001,953216.0,958697.4,329698.8,276947.0,336447.6,392325.5999999999,246127.2,235610.0,329811.4,330017.4,391833.0,329743.0,469554.60000000015,441913.5999999999,380120.5999999999,591325.4,588821.0,696999.4,614448.0,423965.80000000016,536836.0,557175.0000000002
42,2613533.2600000002,2214989.88,2185544.54,2044714.1,2023072.08,2356049.72,2301491.12,2139522.12,2359368.12,2435885.04,1316534.0,1139525.3599999999,1208146.26,1016894.1199999999,1199052.26,1383335.3599999996,1496498.86,996108.22,956617.6,964340.32,329176.52,306117.5,340477.2,392911.56,245443.18,246897.0,330756.68,332321.24,396608.0,333310.4,493333.89999999997,480360.63999999996,453360.63999999996,593572.22,592043.2,699056.58,614613.28,494179.52,594537.2999999999,578763.74
43,2630032.24,2360438.5599999996,2236181.48,2060972.2,2042428.16,2596018.879999998,2349394.52,2177365.72,2454047.56,2435798.28,1377781.0,1167937.92,1210746.84,1027322.88,1204958.12,1503445.44,1497007.48,1005055.4,971710.4,973601.24,335771.79999999993,325302.5999999999,340636.64,395073.5999999999,275674.7200000001,296097.0,331581.08,333348.60000000003,400370.0,333882.4000000001,499534.16,496616.48,486731.04,596572.6,592990.8,709683.92,653274.68,493392.88,596403.8,579781.92
44,2655222.6000000006,2390683.58,2350868.64,2183242.6,2050880.56,2729561.68,2481176.8400000003,2250692.0400000024,2462278.48,2450909.84,1469944.0,1196266.3399999994,1215347.58,1030641.76,1240833.88,1627668.18,1595187.4199999997,1023668.9400000001,974024.2000000001,971803.52,340699.08,325661.9,348633.51999999996,402025.44,324867.30000000016,310009.0,335178.52,340325.48000000004,401314.0,367494.80000000005,498735.18,499142.66,485988.42,630099.6,592400.6,754479.14,689424.64,508482.75999999983,599611.0,583446.98
45,2693242.8000000003,2417356.64,2463436.8399999994,2296680.5999999996,2140104.6,2730562.16,2655006.36,2551192.28,2488482.92,2473842.36,1475544.0,1205997.56,1218715.7600000002,1033421.68,1272996.32,1776036.2400000002,1607049.36,1043253.56,983451.0,977788.1199999999,342157.64,328618.19999999995,351404.2,402828.72,326422.92,325061.0,337045.64,342763.28,402737.0,367428.0,506585.8400000001,498399.36,550292.7599999997,647859.88,632418.8,781340.76,712713.52,575019.48,651576.2,615947.12
46,2701254.8,2519704.3000000003,2725856.7,2314747.5,2229139.8,2747496.9,2728012.6,2555409.8,2533839.8000000003,2520343.6,1506267.0,1206043.2,1222443.5999999999,1067943.7,1296732.9,1891193.5999999999,1610317.0,1050967.2,1000194.5,976880.2,343359.6,330178.5,352183.39999999997,403960.4,329047.7,326812.0,336261.39999999997,343653.8,406076.0,394474.0,539739.7,538958.0000000002,573236.4,649728.8,648358.0,794828.9,716117.1,582275.2,650095.0,637463.3
47,2709027.8,2582906.48,2736018.6,2451114.8,2256461.08,2748489.96,2730979.1600000006,2596017.32,2667030.72,2640389.0400000014,1508319.0,1209632.76,1225977.44,1071456.64,1303713.6,1989238.32,1616047.4,1057383.12,1004544.0,993492.24,343911.12,332726.6,354396.64,407270.28,330876.56,325817.0,339760.8,345824.24,409419.0,395909.4,586750.56,586128.44,575140.24,653675.84,649570.8,797088.4,767201.2,583581.88,654105.8,638459.56
48,2907131.8799999994,2595315.82,2736984.18,2458259.7,2349409.2399999998,2734308.38,2744979.12,2748814.0399999996,2688966.66,2894550.52,1551770.0,1212359.74,1237953.74,1113258.3199999991,1312925.64,1997797.82,1625494.88,1074494.98,1007233.9,1003111.2,347508.4,336566.6,354109.82,410464.67999999993,330932.24000000005,329998.0,347231.16,348547.27999999997,432207.0,397475.8,588760.18,588592.68,578298.68,654804.46,654948.8,798210.36,768113.56,585385.36,656274.3,640429.18
49,2960759.04,2644046.879999999,2738013.04,2518428.8,2360104.3600000003,2748568.92,2756032.1999999997,2727889.76,2819525.52,2921648.32,1591217.0,1218819.8800000001,1251842.68,1140951.04,1442683.04,2014144.48,1636152.84,1089354.04,1029930.6,1018641.48,360424.3199999999,336297.4,357717.68,436241.07999999984,330559.72000000003,333029.0,346458.84,348263.51999999996,447949.0,399068.4,592037.64,588697.4,579331.12,660605.12,658214.0,799978.64,806489.84,586805.2,657270.0000000001,641780.6000000001
50,2974054.06,2968924.02,2740897.82,2832268.8,2448359.279999998,2779673.54,2757006.88,2730770.8,2812948.74,2947836.4,1599210.0,1221918.58,1380020.1,1167516.3,1444725.82,2033065.42,1641674.06,1091360.58,1036188.7,1037190.04,400721.88,335308.0,406403.18000000017,450558.8,329835.2400000001,333704.0,347423.36,401417.31999999995,447901.0,402058.8,592007.6,591042.3,583432.36,663529.96,660618.9999999999,799797.68,806376.08,590732.4,666787.8,647466.92
