,358_1_www.spotify.com,358_2_www.spotify.com,358_3_www.spotify.com,358_4_www.spotify.com,358_5_www.spotify.com,358_6_www.spotify.com,358_7_www.spotify.com,358_8_www.spotify.com,358_9_www.spotify.com,358_10_www.spotify.com,359_1_www.spotify.com,359_2_www.spotify.com,359_3_www.spotify.com,359_4_www.spotify.com,359_5_www.spotify.com,359_6_www.spotify.com,359_7_www.spotify.com,359_8_www.spotify.com,359_9_www.spotify.com,359_10_www.spotify.com,360_1_www.spotify.com,360_2_www.spotify.com,360_3_www.spotify.com,360_4_www.spotify.com,360_5_www.spotify.com,360_6_www.spotify.com,360_7_www.spotify.com,360_8_www.spotify.com,360_9_www.spotify.com,360_10_www.spotify.com,361_1_www.spotify.com,361_2_www.spotify.com,361_3_www.spotify.com,361_4_www.spotify.com,361_5_www.spotify.com,361_6_www.spotify.com,361_7_www.spotify.com,361_8_www.spotify.com,361_9_www.spotify.com,361_10_www.spotify.com
10,326634.8,332641.6,465661.8,521677.2,508577.0,326034.2,409862.0,431249.2,444281.4000000001,470833.0,452955.2,383502.8,422527.6,447249.8,439472.4,445374.0,465407.8,439676.0,449607.4,433526.6,413160.8000000001,386035.8000000002,342097.0,419946.4,401859.8,392679.0,406447.8,370303.20000000007,326182.0,301876.2,423159.6,322096.4,372147.0,298504.6,354593.79999999993,306563.0,389820.0,311006.0000000001,358524.00000000064,370836.8
11,385726.23999999993,357191.79999999993,668114.2400000001,667208.32,674211.8,420626.4,640572.28,524171.7599999998,638498.38,640324.6,478410.3599999999,421722.76,430637.58,461923.2,446304.3599999999,452889.2,473460.68000000005,454700.6,456748.08,440370.82,418914.92,417063.08,407581.7,476933.6,412828.74,412449.76,412069.24,398746.84,421420.48,416001.76,431145.1999999999,420931.88,421018.28,306046.52,423159.56,341571.74,395421.1,373733.14,423703.96,418639.64
12,492447.0,445236.3599999999,713906.08,729118.5599999998,735128.2000000008,648327.32,656031.4,667465.12,675707.4,658027.0,608835.64,427144.44,438363.68,572311.6000000001,462369.72,528641.9999999995,497233.68,627062.3999999999,471929.32,457723.6,460780.7599999999,437069.2,412639.6,732098.84,422951.2,565735.9200000003,444259.5199999999,414445.8,426789.8000000001,424885.16,483805.4,426692.56,429806.16,399754.04,433158.6,399429.96,394744.4,400463.64,435666.12000000005,425088.16
13,567536.28,631497.1599999997,905338.34,905025.74,914377.3,654075.2,878503.0800000002,683348.36,872439.28,831849.7000000003,767455.76,443842.92,484528.4,761857.84,478027.24,647650.3999999999,502679.66,762244.4,476999.16,563104.8000000003,636864.4,568281.8,458715.2,735576.92,578825.56,711202.26,679228.6400000001,537239.56,441805.84,434652.68,625438.3999999999,441381.52,431666.16,459387.8400000001,525106.96,417269.3,420705.7,417107.9800000001,495760.76,441135.6
14,676643.6799999999,683014.5599999999,915032.44,910723.72,919943.6,753798.6799999996,880321.68,882817.8800000005,874269.52,881353.2,769589.7999999998,450682.76,751453.56,766009.68,480743.16,763960.4,502155.48,764396.8,483126.32,686515.28,736634.56,733420.04,686504.1999999989,749996.2000000002,727073.08,716866.92,727333.24,717453.64,447477.92,517360.8000000001,740678.48,446933.28,441278.16,511136.28,644174.92,503469.28,433223.6,554596.44,516498.04,498929.24
15,703979.2,756577.9999999999,928448.3,931446.0,965666.5,886982.8,892490.4,922774.1,889642.9000000001,892751.5,780761.6,456672.20000000007,755804.6,778016.4000000001,488177.4,770147.0,551305.4,776019.0,524828.6,766772.6,739424.4,739624.4,729936.9999999999,781432.8,733951.9,732857.9,738073.1,718487.6000000002,509864.0,699759.6000000002,752215.6,462687.2,446136.2,538374.4,672954.2000000001,639136.2,474764.0,697331.8000000003,579546.0000000001,550480.2
16,730086.68,868552.28,971651.44,1005451.88,1009162.8,892410.84,941779.44,958904.48,935866.68,941945.4,913692.2,460246.92,767050.6,833365.36,542513.28,779151.2,586996.52,924874.0,543518.76,771816.32,754245.52,746225.32,742452.8,842379.88,747996.92,762127.56,748190.16,732989.08,582390.12,743439.64,767664.32,511917.52,469761.12,625384.24,701369.56,717225.28,546647.8000000003,718900.28,698559.92,559867.72
17,765676.0800000002,885773.68,1017103.06,1012685.32,1046987.6,903865.4399999995,986493.72,965415.26,982145.26,987008.4000000005,975896.12,522745.84,901426.0799999993,976580.36,646682.16,892015.7999999998,593214.3999999996,970844.0,652644.2000000008,849171.5600000005,801369.84,793272.28,786807.3999999997,851941.8000000005,789976.72,820267.26,816936.44,810076.48,647697.76,754747.7200000002,810490.7199999999,531270.52,540224.2,785914.88,749523.48,722540.58,594194.5000000001,750336.64,798213.8000000002,642564.7200000001
18,863805.0800000002,929168.04,1020321.24,1040871.24,1048592.4,983276.48,991460.64,1010344.04,1014550.24,992839.4,1019932.68,607106.92,969167.56,1021235.24,700942.6000000001,979379.6,835366.28,1015078.8,706875.3199999998,893307.36,845471.68,832083.12,836460.4,880482.3200000002,793385.16,850315.68,832943.92,820916.68,695623.76,793402.2400000001,855267.52,660850.0400000003,600722.32,810680.48,804899.64,732507.2399999999,688802.8000000011,783501.6000000002,845379.36,731752.24
19,977188.64,946851.2799999996,1051280.68,1042829.0,1050723.9,990644.56,1022670.2,1017574.82,1015816.48,1022536.4,1055937.36,666550.52,1003784.74,1053336.28,873002.1200000001,1018489.8,939810.7,1048162.6,881643.9200000002,936127.54,874409.56,873999.04,867217.6,892913.12,838140.46,855027.0599999998,867166.9,850942.5599999998,790354.9200000003,804907.9199999998,886837.76,736912.0399999998,653304.7999999999,847776.4400000002,850029.88,783033.28,818452.1,820206.86,876250.1200000013,760484.6000000002
