,386_1_www.netzkino.de,386_2_www.netzkino.de,386_3_www.netzkino.de,386_5_www.netzkino.de,386_6_www.netzkino.de,386_7_www.netzkino.de,386_8_www.netzkino.de,386_9_www.netzkino.de,386_10_www.netzkino.de,387_1_www.netzkino.de,387_2_www.netzkino.de,387_3_www.netzkino.de,387_4_www.netzkino.de,387_5_www.netzkino.de,387_6_www.netzkino.de,387_7_www.netzkino.de,387_8_www.netzkino.de,387_9_www.netzkino.de,387_10_www.netzkino.de,388_1_www.netzkino.de,388_2_www.netzkino.de,388_3_www.netzkino.de,388_4_www.netzkino.de,388_5_www.netzkino.de,388_6_www.netzkino.de,388_7_www.netzkino.de,388_8_www.netzkino.de,388_9_www.netzkino.de,388_10_www.netzkino.de,389_2_www.netzkino.de,389_3_www.netzkino.de,389_4_www.netzkino.de,389_5_www.netzkino.de,389_6_www.netzkino.de,389_7_www.netzkino.de,389_8_www.netzkino.de,389_9_www.netzkino.de,389_10_www.netzkino.de
20,1547219.0,1437049.6,1366105.4,1505620.6,1419108.0,1366020.8,1509523.6,1404753.0,1785827.8,3150536.0,2628936.0,4165016.0,3788762.4,5136682.799999998,3214087.0,3532008.6,2621444.0,3465968.6,3109769.4,3941972.2,1515912.2,2193675.2,4602465.6000000015,3608936.6,2823475.0,4220621.2,3508300.7999999993,3700983.9999999995,2655674.0,1272008.0,1343547.0,1176433.0,1275279.6,1133755.4,1133918.6000000006,1211766.8,1184040.6,1193778.4
21,1588132.6,1439212.16,1375249.72,1516110.52,1493594.3999999997,1375406.62,1514716.32,1496578.48,2019237.980000001,3449741.2,2935318.44,4642025.76,4221523.96,5935506.419999999,3554775.3,3740246.44,2994499.9999999995,3889959.64,3370976.2,4212532.6,1602547.28,2299119.240000001,5307550.98,4098974.7599999993,3272263.8000000007,4690954.96,3596529.04,4136891.4799999977,3034501.1599999988,1338840.2999999998,1350633.2,1176962.4,1314650.48,1171073.42,1283581.76,1261855.9200000002,1192828.04,1239421.64
22,1616669.6,1474142.56,1388020.96,1546633.7999999996,1509187.2,1379533.16,1561436.72,1503818.08,2360398.44,3872531.799999999,3183486.600000001,5114954.279999998,4525503.08,6630939.079999999,3848136.1599999983,4128509.520000002,3382419.8,4284109.2,3759024.2,4696479.840000002,1673354.72,2521698.3200000003,5962663.520000001,4609213.76,3650007.0000000005,5148131.32,3766824.96,4467198.28,3440402.76,1377370.3999999985,1395856.2,1199494.4,1350347.68,1225132.24,1345508.84,1271128.84,1203177.72,1344661.12
23,1673321.4,1527031.04,1425488.04,1640011.02,1555059.7,1384237.34,1587388.96,1540950.4599999997,2436465.02,4354357.8,3416484.240000001,5481129.879999999,4895050.96,7268533.679999998,4212616.18,4567568.08,3714554.7,4426276.12,4164474.0,5312311.880000001,1864568.76,2765401.56,6477192.079999999,4931356.6,3993955.2000000007,5755546.520000001,4152015.26,4512384.26,3577639.3200000008,1473713.5,1467476.4,1296925.8,1360982.22,1350834.28,1392276.44,1347342.2,1228378.52,1353237.08
24,1747375.2000000004,1589379.4,1490880.6,1740865.6,1608635.1999999997,1402194.28,1667348.48,1590169.44,2500595.04,4461360.6,3687673.24,5919432.6,5240034.999999998,7834382.559999999,4460046.2,4855258.72,4181698.4,4481242.76,4451832.4,5946441.12,2090290.32,2914281.56,6999236.88,5357402.8,4479768.0,6370038.640000002,4523506.48,4793266.6,3621159.08,1509361.6,1550643.6,1345076.8,1416827.96,1434919.44,1407886.44,1393775.84,1333453.16,1359590.72
25,1964963.0,1635620.0,1519317.0,1845007.0,1730416.0,1463427.0,1672310.0,1654438.0,2575609.5,4505331.0,3916713.0,6375563.0,5440875.0,9805847.0,4487727.5,5209789.0,4437231.0,4854411.0,4486964.0,6599192.0,2289227.5,3176763.0,7637579.0,5779201.0,4950910.000000004,7016365.5,4903333.999999998,5344648.999999998,3732544.0,1582173.0,1590822.0,1365603.0000000002,1513369.5,1514721.0,1487050.0,1406931.0,1357554.0,1389878.0
26,2271049.2,1714078.7200000002,1571268.84,2124394.36,1770770.3999999997,1533666.8,1711482.6,1729889.4399999997,2754441.72,4828566.0,4220016.32,6900683.560000001,5879045.439999998,10960628.799999997,4834768.56,5645821.000000001,4460368.2,5273008.96,4806418.199999998,7184197.88,2422882.12,3522106.04,8290325.04,6215903.68,5356995.8,7781010.2,5358126.52,5824050.919999995,4104885.0400000005,1651888.3999999994,1663275.3999999994,1379818.0000000007,1550846.4,1588912.16,1566340.88,1480684.8400000003,1364151.72,1455904.2799999998
27,2427634.5,1841376.48,1574005.52,2379982.58,1781858.8,1572168.78,1764670.0399999986,1852719.36,2910824.22,5272070.599999999,4568544.160000003,7456967.56,6330395.0,11497933.54,5224368.279999997,6074583.2,4632976.2,5694786.1,5249549.7,7784813.879999999,2632711.240000001,3620968.24,8930322.52,6562782.560000001,5587722.800000002,8496242.48,5606115.52,6366102.819999998,4504440.32,1739495.9,1758028.2,1451184.2,1602969.9200000006,1708474.3200000003,1630882.2,1574573.24,1386809.72,1553971.6
28,2651865.8,1900661.8,1591981.96,2609464.6,1825957.0,1639415.6800000009,1833984.6,2112608.8800000004,2993859.56,5713987.0,4909406.2,8028867.3999999985,6850008.639999999,12128725.76,5564649.3999999985,6677813.28,5119644.3999999985,6184091.52,5756043.52,8366611.6400000015,2848222.08,3657126.44,9492133.0,6855380.12,5912543.6,9139796.08,5861044.56,6923769.760000002,4865504.48,1756200.6,1769215.8,1466668.6,1712869.96,1735978.88,1698933.12,1661173.88,1475693.6,1639534.3999999997
29,2963258.1,2027712.96,1603844.52,2836046.28,1871565.0,1753850.7600000002,2043123.56,2479038.46,3004229.56,6147586.399999994,5050012.88,8467733.32,7336765.2,12983780.6,5990685.58,7213054.4,5612636.1,6618024.7,6290001.8,8953079.4,3094408.44,3732499.080000002,10103346.6,7177587.919999997,6188345.800000002,9724746.24,6326122.34,7449087.6,5236676.840000002,1767392.2,1847529.4,1468061.6,1762917.26,1743658.26,1699949.88,1735240.28,1546440.7999999996,1733920.68
30,2979826.0,2091478.2,1632263.0,2933563.6,2013938.0,1875961.0,2236589.8,2611801.2,3088748.2,6508608.0,5354515.800000002,8911393.6,7793602.3999999985,13833985.599999998,6368480.999999999,7703377.0,6055847.0,7088422.2,6765752.799999995,9687772.4,3383070.0,4078469.6000000006,10778957.0,7479870.3999999985,6561970.0,10239922.6,6757231.0,7696199.8,5650330.800000003,1799569.0,1931201.0,1487248.0,1804994.4000000013,1791237.0,1731026.4,1743228.2000000004,1632742.2,1749311.8
31,2987847.6,2222334.12,1794439.2,2944748.92,2126559.5,2021582.760000001,2339176.8,2692711.759999997,3113187.86,6940511.999999999,5813161.080000001,9302826.68,8305758.12,14698859.159999998,6780002.0,8189381.999999999,6597880.199999996,7387780.74,7280306.379999997,10292738.24,3580549.14,4473414.48,11380949.88,7963164.479999999,7063617.400000001,10735042.1,7161469.24,8049729.519999994,6008712.96,1808098.8,2022233.4,1510951.6,1923730.86,1932609.06,1754272.88,1769108.16,1692341.56,1759471.48
32,3015068.4,2365152.8000000003,2006052.24,2945228.64,2208433.8,2173429.04,2483645.2,2772613.88,3119157.72,7422137.199999997,6231673.800000002,9844605.36,8668310.759999998,15354278.2,7098906.199999998,8750231.48,7109912.799999999,7822766.84,7822464.159999997,10815089.16,3602106.8,4816734.08,11993604.48,8500583.559999999,7586494.0,11331405.000000002,7682145.0,8320956.52,6396949.12,1812246.4,2051915.0,1538641.4,1942881.76,2023894.48,1778687.92,1778920.36,1717940.52,1794791.72
33,3096496.7,2444912.4000000004,2346208.640000001,2963308.04,2278341.5,2247094.6,2627067.6,2832745.6,3169572.54,7893071.599999999,6704006.0,10371255.48,9125458.159999998,16027862.78,7499250.8,9272546.8,7711901.4,8332499.839999997,8292554.6,11356173.52,3606670.56,5276530.4,12552022.260000002,8824663.68,7977427.000000001,11981645.920000006,8120982.3999999985,8668197.78,6721921.8,1827847.9,2067159.8,1602633.6,1975474.14,2033603.94,1800315.36,1804099.28,1747977.6799999997,1798394.32
34,3150179.0,2623220.6,2594456.24,2980828.84,2397887.7999999984,2325122.96,2701156.44,2898992.279999998,3209192.1600000006,8385782.999999999,7184939.56,10802339.76,9404770.999999998,16722794.239999998,7827529.68,9733538.0,8318916.199999997,8852631.319999997,8763267.799999999,11702963.16,3612864.52,5682471.48,13157887.8,9160465.0,8512642.600000005,12589956.24,8610560.799999997,9039058.84,7056845.44,1850685.9999999998,2074133.6,1649832.2000000004,1978982.68,2057512.24,1822586.8,1803310.96,1771914.68,1798295.76
35,3183148.5,2841130.8000000007,2880628.6,2994937.3,2536123.5,2397568.7,2802398.2,2929742.6,3221727.8,8890900.0,7720421.600000003,11037202.2,9881056.0,17461695.199999996,8219275.999999999,10228825.8,8928561.0,9312792.0,9246826.0,12314287.8,3641256.9,6039225.000000003,13745896.0,9397043.0,8871090.0,13141955.5,9009785.5,9294499.3,7438241.000000001,1967020.5,2081428.0,1662535.0,1979131.7,2070802.7,1941536.6,1813183.6,1791253.0,1852798.6
36,3193318.4,3013424.4,2965167.24,3009873.32,2776144.3999999976,2536901.7199999997,2941282.6,2986513.16,3243209.0,9392425.599999998,8219494.2,11403234.16,10255480.4,18226046.799999993,8606378.0,10542980.04,9449879.4,9738312.44,9841124.88,12920551.079999998,3724626.96,6407044.6,14365517.52,9752772.88,9299001.4,13709688.6,9378198.36,9576921.999999996,7637541.719999998,2011083.8,2092475.6,1706417.0,2004497.92,2075917.04,1977702.32,1840891.0400000003,1821561.96,1884175.4
37,3203357.8,3060857.32,2969660.88,3035691.86,2930828.3,2735414.38,3019850.6,3001611.58,3363932.36,9778754.6,8677262.72,11909569.72,10823614.279999994,19011512.8,9054769.68,10818960.76,9940119.599999998,10128143.66,10374128.7,13525969.840000002,3897370.68,6730163.0,15019345.8,10306249.4,9669256.800000004,14285409.760000002,9642479.18,10088336.039999995,7960236.8,2025981.3,2194451.2,1781954.6000000006,2010557.4,2084933.02,1996566.32,1916099.44,1840772.08,1950704.6
