,238_1_www.nist.gov,238_2_www.nist.gov,238_3_www.nist.gov,238_4_www.nist.gov,238_5_www.nist.gov,238_6_www.nist.gov,238_7_www.nist.gov,238_8_www.nist.gov,238_9_www.nist.gov,238_10_www.nist.gov,239_2_www.nist.gov,239_3_www.nist.gov,239_4_www.nist.gov,239_5_www.nist.gov,239_6_www.nist.gov,239_7_www.nist.gov,239_8_www.nist.gov,239_9_www.nist.gov,239_10_www.nist.gov,240_1_www.nist.gov,240_2_www.nist.gov,240_3_www.nist.gov,240_4_www.nist.gov,240_5_www.nist.gov,240_6_www.nist.gov,240_7_www.nist.gov,240_8_www.nist.gov,240_9_www.nist.gov,240_10_www.nist.gov,241_1_www.nist.gov,241_2_www.nist.gov,241_3_www.nist.gov,241_4_www.nist.gov,241_5_www.nist.gov,241_6_www.nist.gov,241_7_www.nist.gov,241_9_www.nist.gov,241_10_www.nist.gov
32,686776.6,572487.24,648346.4,539648.3200000001,752981.5199999997,890601.0,614322.1600000003,676747.92,603091.4,805925.0,123820.44,134663.28,133617.2,127782.59999999998,131841.19999999998,196953.64,142216.92,140534.76,161484.60000000006,1213481.32,1081540.52,528840.7200000001,506673.8,794419.3999999998,536152.76,702991.6799999997,537733.92,540311.96,1354120.44,188406.04,179124.96,184892.2,280492.8,249284.1999999999,243750.27999999988,190252.76,189132.12,185824.4
33,756272.04,631692.4,658162.6,604651.0800000001,795887.5999999994,900928.4,676849.16,706419.72,652376.3799999999,857418.0,145120.86,135593.94,145827.4,138124.67999999982,131439.9,247660.32000000004,177016.28,144172.0800000001,174631.5,1295444.8,1197986.4799999995,536366.76,516397.92,907821.8,542794.6799999999,784823.3199999995,581646.7,543776.08,1472510.04,187855.76,182596.84,192488.8,282128.0,263913.2000000001,259231.0,195598.08,189781.36,188970.6
34,838140.7999999998,681955.8399999997,714607.0000000001,674946.08,861986.1199999995,908212.44,719810.4400000002,716007.92,696155.36,880924.0,174193.72,177249.12,174188.8,176097.19999999995,159949.40000000005,254153.08,175629.28,172746.76,177046.2,1408047.24,1340611.6,542277.48,520833.76,1000375.3999999996,609092.3599999999,867204.4799999999,673949.7599999997,557020.3200000001,1473977.72,191624.56,202109.28000000003,210412.0,288048.6,273498.0,273894.64,225621.92,204209.79999999996,186710.6
35,862204.3999999998,738093.4,760449.5,682862.4,878342.3999999998,932181.2,728834.0,817024.0000000001,765316.1,891793.0,175330.4,175284.09999999998,177981.0,177565.59999999995,182460.5,259048.60000000012,174661.0,174914.8,183004.5,1473158.4,1458412.2,600905.2000000002,549969.9999999998,1114712.0,676523.6,970594.0999999995,739171.3999999997,639978.0000000001,1481560.6,210572.8000000001,219225.0,221226.4,301118.0,272061.0,272374.0,233408.2,228834.6,197070.0
36,884036.6799999998,780649.68,785113.2000000002,733873.5199999998,887426.6,934845.76,788539.6000000002,841648.36,816429.3600000001,896750.0,181302.0,178100.4,183602.0,178682.8,185337.0,268629.8,180908.84000000003,179531.2,185578.2,1481147.08,1470735.64,682151.6799999999,598210.9199999998,1212450.6,748894.1599999998,1065279.92,833027.84,745327.9199999998,1503064.6,212927.24,240922.1599999999,235174.19999999995,337767.0,274645.8,277085.32,263465.36,242570.55999999997,222881.99999999988
37,897115.08,831441.7999999997,833697.4000000001,806325.2799999998,896110.1599999998,939887.72,831100.5199999998,877855.6000000002,860427.2200000002,910346.0,185425.92,185430.74,186341.2,186795.28,191428.00000000003,269660.92,184014.72,184065.72000000003,184052.4,1483066.4,1527176.4600000004,766642.3200000002,674308.8799999994,1327688.7999999996,831437.5599999995,1148003.0,930923.76,858480.7599999997,1533276.3199999996,237024.40000000005,268737.2600000001,260794.66,366231.2,278387.2,278286.12,280339.58,268648.44,263779.0
38,898226.76,877991.76,887189.8,846610.32,907385.12,942918.52,869299.28,901179.4,877594.7599999997,932379.0,185068.56,185155.88,185593.6,184500.48,195347.8,271530.44,184070.44,186527.68,184636.0,1516741.32,1551685.16,837553.2399999999,750194.7599999999,1448821.1999999997,917510.44,1229773.2799999998,1010073.72,949290.2400000005,1559837.56,247035.6,271618.68,271721.36,367899.4,281121.6,279673.76,283118.0,279069.36,272060.60000000003
39,918952.52,887902.8,893370.8,862438.04,924841.12,962603.46,886596.72,905756.36,886814.02,933920.0,183851.64,184174.86,184667.8,184925.92,192248.7,274910.22,184593.28000000003,185409.52,186906.7,1560073.24,1555337.6,914045.76,812245.7999999993,1476112.4,1003135.7999999998,1304452.5199999993,1111168.9599999995,1073062.6,1561140.58,263408.48000000004,274306.0,275639.26,368293.2,279763.6,289660.6,280704.06,282888.44,277276.4
40,931935.4,893285.2,908321.0,887132.4,935140.0,988133.4,887459.2,923636.6,893229.6,934483.0,185065.0,185586.0,186104.0,186182.0,194174.0,277095.2,185587.0,184189.8,186694.0,1562584.4,1558504.2,1003151.0,874745.7999999998,1477140.0,1128841.1999999995,1434904.2,1219740.6,1156266.6,1564906.6,265071.2,272529.0,272350.0,371005.0,303247.0,311126.8,282992.0,280444.0,280676.0
41,952263.48,901561.28,916469.0,892300.8,934639.16,1024999.52,898619.6,933995.0,899753.28,941166.0,187770.54,186830.38,186129.0,186999.84000000003,194135.5,279194.4,186967.72000000003,184775.08,187039.3,1568766.84,1562962.5,1082033.2,937784.64,1481053.4,1244075.6799999995,1472541.34,1320868.78,1228281.64,1628680.6800000004,275619.0,275578.88,276948.0,373798.8000000001,330446.59999999986,345776.64,286291.58,283111.84,279998.6
