,173_1_us.norton.com,173_2_us.norton.com,173_3_us.norton.com,173_4_us.norton.com,173_5_us.norton.com,173_6_us.norton.com,173_7_us.norton.com,173_8_us.norton.com,173_9_us.norton.com,174_1_us.norton.com,174_2_us.norton.com,174_3_us.norton.com,174_4_us.norton.com,174_5_us.norton.com,174_6_us.norton.com,174_7_us.norton.com,174_8_us.norton.com,174_10_us.norton.com,175_1_us.norton.com,175_2_us.norton.com,175_3_us.norton.com,175_4_us.norton.com,175_5_us.norton.com,175_6_us.norton.com,175_7_us.norton.com,175_8_us.norton.com,175_9_us.norton.com,175_10_us.norton.com,176_1_us.norton.com,176_2_us.norton.com,176_3_us.norton.com,176_4_us.norton.com,176_5_us.norton.com,176_6_us.norton.com,176_7_us.norton.com,176_8_us.norton.com,176_9_us.norton.com,176_10_us.norton.com
20,1157143.0,1024874.5999999995,1129230.0,1635035.0,1257708.6,1249046.0,1224818.7999999998,1044889.5999999995,1265615.8,1231652.8,2079870.0,1267796.0,1212124.0,2360798.0,1765365.0,1848467.0,2368935.8,977918.4,1522212.0,1697335.0,1437975.0000000002,1306719.0,1628673.6,1477134.2000000004,1658099.0000000002,1526414.5999999994,750338.1999999997,1138945.6,1240279.0,1112100.0,1045553.2,940068.0,1111973.2,883624.7999999998,964058.0,864497.4,1153351.8,993226.2
21,1183184.3,1076328.4800000002,1292892.36,1642548.2,1269842.38,1374196.5,1275588.86,1184872.6,1278041.16,1302952.1,2200816.8000000003,1382215.4,1335837.8,2584938.9,1846053.2,1928207.0,2556746.0400000005,1043556.26,1527908.6,1905021.88,1480984.8000000003,1422861.4,1727034.12,1575271.2000000004,1745357.52,1715086.8,790540.4400000002,1202269.84,1417075.6,1204168.0,1066723.4,953401.9,1158261.2799999998,899027.8,992284.4,879179.2999999998,1179507.7599999998,1004093.72
22,1314058.84,1242324.56,1410786.0,1657460.6,1276403.16,1420513.8,1299788.3999999994,1283363.8,1315502.52,1414844.36,2390689.96,1472741.0,1491607.4000000006,2666993.6,1934956.4,1994850.6,2648716.88,1089722.64,1581353.4,2088408.4,1606911.6,1491879.7999999996,1913399.32,1660750.4,1859392.4,1911469.0799999991,896877.6,1259726.2,1432072.2,1262379.0,1141564.48,996521.2,1253721.4,926782.36,1000937.2,891049.6399999999,1207432.48,1020178.72
23,1425026.02,1362697.04,1418877.08,1659543.6,1315561.42,1431557.2,1435327.9,1306900.0799999998,1432934.96,1573594.6399999997,2521659.2,1597469.0,1598221.38,2678729.8000000003,2041052.6,2025044.0,2662179.94,1213732.7,1613576.6,2140936.32,1759100.24,1645643.8,2068578.72,1826651.2,2037017.12,2046078.88,1026934.4799999995,1334586.0000000002,1463993.6,1411081.0,1256633.3999999994,1031136.5,1406915.72,945682.28,1004524.8,921449.22,1253449.5599999998,1094851.44
24,1435489.04,1418120.52,1428230.28,1675741.2,1435192.8,1450616.0,1442308.52,1424618.4,1440910.88,1717095.3199999996,2703950.68,1719821.4,1746582.6,2688831.2,2155629.8,2189034.8,2666546.76,1290441.44,1704428.6,2152285.6,1828969.3600000003,1726478.0,2106683.2,1880320.6,2179257.64,2068057.6,1141436.6,1423222.4,1476284.4,1418921.0,1343042.0799999998,1062034.4,1430885.5599999996,968025.12,1026721.8,974851.4,1299855.12,1215722.92
25,1452197.5,1428677.0,1446826.0,1716517.0,1455493.0,1470761.0,1460113.0,1430775.0,1457347.0000000002,1851092.0,2755017.0,1838761.0,2018214.5,2714959.5,2264314.9999999995,2293590.0,2674722.5,1371483.0,1830069.0,2162676.0,1993766.0,1829915.0,2123196.0,1954630.0,2221959.0000000005,2151411.0,1290248.0,1530454.5,1492874.0,1431669.0,1421545.5,1110150.5,1448159.0,980265.0,1046967.0,1020939.0,1421193.9999999998,1293646.0
26,1470692.24,1435792.64,1455212.36,1777102.4000000004,1464744.24,1482214.4,1470112.2799999998,1441775.32,1468130.36,1952350.2,2785585.56,2055031.799999999,2249673.2800000007,2733049.400000002,2390748.2,2382137.7999999984,2689432.88,1500935.6400000004,1931968.6,2205223.92,2065953.84,1889355.4,2127394.64,2112787.76,2241668.8,2161934.4,1370743.04,1664089.28,1515251.0,1456039.0,1429772.92,1166600.4,1466725.6799999997,998065.44,1074925.0,1104530.28,1430521.12,1331072.3199999996
27,1481730.48,1452671.96,1474528.7200000002,1831011.4,1481542.64,1502082.2,1478204.84,1460179.06,1477205.7200000002,2092019.0,2831647.2,2245305.0,2453197.6,2806704.5,2496407.5999999987,2576206.8,2749520.28,1629159.44,2024175.1999999997,2280570.08,2208546.64,1993152.3999999997,2130988.08,2348184.5200000005,2328813.080000001,2195766.76,1402641.56,1754090.7,1627332.4,1475738.0,1447595.26,1241934.7000000002,1476996.44,1010804.88,1121716.6,1162514.2999999998,1449400.0,1418988.5599999996
28,1492708.76,1461439.44,1479521.12,1847151.2,1498994.32,1509228.2,1496000.76,1477791.64,1493973.64,2214160.6,2885101.24,2542902.0,2601073.56,2828896.2,2588133.6,2724024.8000000007,2772296.48,1702055.0400000003,2134947.2,2371012.08,2291418.72,2134232.2,2144602.2,2559316.5600000005,2468910.56,2250303.2,1412367.48,1866679.6,1639400.8,1485304.0,1466914.64,1405118.0,1484936.92,1033262.68,1198401.6,1281413.72,1467603.64,1428392.4
29,1500244.64,1474639.52,1497699.16,1855620.2,1506349.72,1593658.5000000002,1513681.92,1487491.06,1510705.3200000003,2396898.16,2957343.52,2776139.0,2822281.1,2966106.2,2606703.6,2838788.3999999994,2830374.68,1778067.7799999998,2241961.4,2478493.6,2444523.52,2235088.6,2183560.08,2599759.8,2570607.92,2333437.1,1435249.16,2061518.9,1649663.8,1495215.0,1476006.6,1433326.5000000002,1499931.52,1069075.44,1273062.8,1361060.22,1476688.64,1435785.48
30,1624218.2000000004,1480483.8,1502181.4,1854816.0,1513644.4,1630358.0,1516076.4,1503318.4,1520355.0,2459834.4,3089438.0,3072692.0,3042680.6,3110193.0,2792105.0,3038314.0,2957356.8000000007,1854924.8,2310352.0,2569589.2,2482362.0,2323662.0,2209203.8,2622151.6,2589559.0000000005,2420852.9999999995,1494943.0,2241047.4,1666132.0,1513190.0,1493245.4,1442935.0,1561153.0,1077021.8,1326251.0,1426439.0,1483372.8,1452910.0
31,1634485.84,1506090.44,1513490.64,1876407.2,1521042.7000000004,1642718.3,1574129.82,1515452.02,1523957.48,2602397.959999999,3137134.92,3127542.6,3056428.68,3126046.0000000014,2957524.0,3122592.0,3105847.48,2042972.9,2458110.599999999,2576501.4,2600571.8000000003,2410455.0,2274330.12,2631681.36,2604305.68,2575662.9,1590517.4,2501138.56,1666329.6000000003,1529510.0,1586307.1199999994,1470909.6,1622175.56,1142087.7599999998,1409509.7999999996,1435424.9,1500906.96,1460807.64
32,1640352.48,1514146.6,1629767.72,1881255.0,1610506.0,1643932.2,1644794.76,1631329.9199999997,1571898.4000000006,2800790.4,3166680.28,3149405.6,3075710.52,3144062.8,3053335.0,3141036.4,3116299.48,2213387.6,2590708.0,2588523.28,2620257.4,2435354.2,2358327.2,2650456.56,2622908.0,2589811.72,1650922.8,2596253.88,1679418.8,1536866.0,1614009.44,1479666.6,1631596.9199999997,1190720.24,1430091.4,1442846.52,1578506.8399999987,1467477.24
33,1648836.42,1521318.88,1636316.6,1952806.4,1641911.42,1651034.7,1660818.9199999997,1639308.9,1643568.96,2959445.3,3187220.920000001,3157709.0,3114514.400000001,3160554.1,3064078.0,3163660.0,3146207.9,2299040.12,2597801.4,2606112.36,2638091.16,2443783.9999999995,2437239.2,2723219.76,2642348.16,2600281.32,1760055.6799999997,2614627.82,1713491.6,1644132.0,1622105.54,1489260.8,1643189.72,1234144.2,1447540.8,1462449.64,1623415.64,1491000.479999999
34,1663781.92,1543766.36,1657067.4400000006,1969008.8,1665640.76,1663102.4,1683757.28,1648742.52,1662488.44,3080854.4,3208339.88,3175581.4,3210072.04,3175230.8,3091465.6,3173591.2,3154682.44,2359428.76,2614550.8,2615789.12,2686109.6800000025,2546291.9999999995,2535234.32,2731823.8800000004,2673307.8000000003,2620321.96,1864291.679999999,2634678.56,1738745.6,1657640.0,1630474.48,1507191.6,1641091.56,1276406.6,1466037.0,1467083.0,1630637.08,1501337.28
35,1671597.9,1641597.2,1665454.4,1984257.0,1683380.2000000004,1675210.5,1686126.7,1654495.7,1675226.8000000003,3146572.0,3260652.6,3248673.0,3252799.1,3190554.5,3153978.0,3185025.0,3173011.9,2380849.0,2625446.0,2622477.8,2719700.4,2612630.0,2565524.4,2744293.4000000004,2765919.4,2679364.9,1975344.1999999974,2643666.1,1758115.0,1673741.0,1641191.0,1611381.0,1650178.6,1349067.3999999994,1470270.0,1474636.5,1637304.2,1507205.6
36,1681823.64,1655121.56,1669933.44,1992404.6,1685244.36,1694972.2,1699589.08,1662021.0799999996,1685346.48,3166970.92,3317093.64,3260464.4,3282914.28,3231971.0,3163244.2,3253864.8,3179581.76,2400364.24,2633755.6,2650433.36,2729677.84,2640768.0,2572585.44,2856556.72,2777909.24,2701519.16,2055057.12,2664404.2,1777789.2000000014,1685341.0,1655835.64,1627549.4,1649691.24,1415362.52,1479324.0,1491766.24,1643538.76,1528917.2399999998
37,1689842.8400000003,1670902.68,1675194.72,2082753.0,1690387.7999999996,1720277.6,1747264.42,1663352.54,1695885.96,3188472.38,3384609.72,3377222.8,3292063.32,3325347.5,3253112.1999999993,3370000.8,3213510.0,2407886.34,2694686.0,2696440.4,2735334.3200000003,2702328.6,2579741.04,2855156.52,2820899.4,2721641.92,2234151.8,2725855.98,1815647.4,1687092.0,1658316.2399999998,1636018.3,1663726.08,1429204.0,1495852.6,1508565.7,1655103.56,1626820.04
38,1704981.92,1676728.76,1686464.52,2111934.6,1751433.6,1727697.8,1807971.76,1669045.04,1704356.4,3201755.8,3397964.88,3387534.8,3311063.52,3377195.8,3287534.4,3378544.2,3270311.8,2521477.16,2710245.9999999995,2714644.96,2799030.88,2711764.6,2597718.52,2880810.56,2845723.68,2738454.5999999973,2290790.76,2750553.52,1858027.8,1693801.0,1664851.36,1644621.0,1691165.5199999998,1434876.2,1503459.0,1515243.12,1661595.08,1637477.44
39,1742772.04,1684669.16,1686646.6,2106391.8,1789881.52,1732667.1,1809665.28,1688341.24,1714480.32,3286460.6,3406937.32,3395677.2,3321509.98,3392449.8,3293497.4,3384590.4,3369495.08,2533114.36,2729736.4,2723925.88,2857972.24,2730104.4,2614280.96,2902390.96,2844640.72,2841952.62,2372372.8,2844223.06,1864073.8,1702688.0,1664609.92,1650551.1,1718380.6,1451450.64,1616801.2,1536480.36,1662693.76,1646535.84
