,137_1_www.office.com,137_2_www.office.com,137_3_www.office.com,137_4_www.office.com,137_5_www.office.com,137_6_www.office.com,137_7_www.office.com,137_8_www.office.com,137_9_www.office.com,137_10_www.office.com,138_1_www.office.com,138_2_www.office.com,138_3_www.office.com,138_4_www.office.com,138_5_www.office.com,138_6_www.office.com,138_7_www.office.com,138_8_www.office.com,138_9_www.office.com,138_10_www.office.com,139_1_www.office.com,139_2_www.office.com,139_3_www.office.com,139_4_www.office.com,139_5_www.office.com,139_6_www.office.com,139_7_www.office.com,139_8_www.office.com,139_9_www.office.com,139_10_www.office.com,140_1_www.office.com,140_2_www.office.com,140_3_www.office.com,140_5_www.office.com,140_6_www.office.com,140_7_www.office.com,140_8_www.office.com,140_10_www.office.com
43,397895.6,403247.88,416928.4,521979.1999999998,454936.4,552456.3,380908.78,425657.62,607732.84,400818.52,1414369.78,1622559.32,1582750.78,1584613.3199999996,1605925.32,1603463.76,1345485.5,1594773.7,1524550.6800000004,1538674.0,239104.0,258220.56000000003,521370.6,449659.18,330795.96,369595.2,237946.0,236408.92,529490.44,348199.5199999999,450978.22,395145.12,371925.75999999983,350015.23999999993,367366.8000000001,411478.12000000005,392534.6000000001,379523.28
44,399737.08,405892.76,419646.6,582175.6,481669.3999999998,566357.08,382782.16,445865.16,626732.4400000001,402205.20000000007,1441586.6,1634995.92,1599837.6,1585150.24,1610260.76,1608845.92,1424064.0,1632413.64,1591333.8,1585198.0,242276.0,273513.48000000004,527321.0,477158.00000000023,346035.67999999993,395062.24,237830.0,238548.44,529061.64,374025.68,456626.16,445199.7999999997,410161.76,395960.96,405239.4,448354.08,436182.6,424654.5599999997
45,401434.8,405191.0,433679.0,612877.5,535918.9999999993,565510.7,388476.8,457907.9000000001,629207.6,410582.20000000007,1461021.0,1694647.0,1608465.4,1614183.2,1620499.7,1610063.4,1500342.0,1633564.5,1613818.7999999996,1585429.0,262466.0,285615.2,529441.5,508282.40000000026,368991.0,419476.3999999999,239987.0,248630.39999999997,530956.1,408056.6,457846.2,451900.4,443799.6,454375.5999999999,450540.2,449924.8,437900.5,456350.8
46,406902.76000000007,417692.36,431912.8,614361.2,581309.6,577746.64,389939.4,459823.76,631991.6,437031.64000000095,1555867.36,1754789.3199999996,1618430.56,1618134.24,1633993.88,1628857.4799999997,1535733.0,1645513.64,1631431.4,1614673.0,275098.0,297076.76,540263.6000000001,527556.16,390286.68,452723.99999999994,240734.0,261298.44,531603.24,427293.88,459912.2,453679.04,494262.84,455997.48,452219.52,455745.6,449663.5999999999,458056.08
47,414503.48,421334.6,453137.9,616077.1,593610.3999999999,579372.78,389039.84,466153.76,637693.84,492630.6000000001,1614873.18,1797538.98,1635725.68,1630088.76,1633697.82,1635285.56,1566646.0,1661167.88,1651904.16,1618639.0,293670.0,315819.4400000001,547097.2,539768.4800000001,410645.68,488752.12,244124.5,274457.16,533298.24,455402.96,462495.37999999995,460648.0,496083.92,461974.9,457652.12,470411.79999999976,494031.20000000024,465657.2799999999
48,417187.2,453000.6,481316.1999999999,618439.9999999999,594333.2000000001,581890.36,393109.92,507468.8400000001,645580.2,535801.6000000001,1639964.88,1816571.64,1639346.24,1630857.6,1702712.72,1660045.4800000002,1572430.0,1726666.479999999,1724419.2400000002,1629242.0,307898.0,332492.88,549207.4,547578.68,441204.8,521976.7999999997,243680.0,289142.44,533274.2,500211.96,515562.92,525345.64,501469.56,463382.08,468578.6,508317.3600000002,494172.2,514899.6
49,458074.79999999993,494434.0800000001,529753.5199999998,628420.7,600895.2,613248.9400000001,393077.2,547646.4,645821.1199999999,537710.76,1647357.0200000003,1816294.68,1727626.039999999,1684652.2399999998,1757241.64,1728245.8800000004,1641258.0,1774772.58,1755048.8400000015,1640937.0,327738.5,356345.44,549595.7,547579.16,463843.56,533990.64,246388.0,302846.35999999987,538178.84,527081.0,550383.28,525900.8799999999,507654.6000000002,526521.6599999999,502048.16,558558.4400000002,528835.8,547940.9199999999
50,173.0,176.0,177.0,216.0,207.0,202.0,157.0,192.0,239.0,178.0,181.0,203.0,171.0,175.0,177.0,175.0,211.0,181.0,176.0,175.0,61.0,61.0,76.0,74.0,61.0,73.0,72.0,61.0,79.0,62.0,147.0,128.0,133.0,145.0,143.0,140.0,136.0,147.0
51,239.0,262.0,274.0,319.0,303.0,331.0,220.0,287.0,345.0,254.0,440.0,456.0,426.0,477.0,480.0,451.0,564.0,536.0,510.0,525.0,114.0,125.0,159.0,159.0,128.0,153.0,103.0,107.0,142.0,127.0,216.0,214.0,215.0,216.0,221.0,198.0,199.0,212.0
52,43601.0,45739.0,45785.0,58795.0,57798.0,55098.0,39402.0,48568.0,63022.0,43357.0,48199.0,49062.0,45302.0,46132.0,46723.0,46627.0,56611.0,48188.0,46452.0,46009.0,16209.0,16209.0,19264.0,17578.0,16209.0,18528.0,18458.0,16209.0,20013.0,16309.0,38458.0,35601.0,35702.0,38036.0,37386.0,36805.0,36303.0,38458.0
53,552255.0,576651.0,620510.0,689416.0,674055.0,668215.0,448882.0,632859.0,710228.0,586198.0,1700320.0,1865625.0,1837893.0,1769803.0,1836353.0,1840950.0,1758885.0,1853243.0,1859725.0,1761983.0,367905.0,400496.0,570569.0,565125.0,501372.0,562387.0,281824.0,331974.0,560105.0,558327.0,619523.0,611786.0,603041.0,616345.0,611759.0,626990.0,614570.0,618780.0
