,374_2_www.kino.de,374_3_www.kino.de,374_4_www.kino.de,374_5_www.kino.de,374_7_www.kino.de,374_8_www.kino.de,374_9_www.kino.de,374_10_www.kino.de,375_1_www.kino.de,375_2_www.kino.de,375_3_www.kino.de,375_4_www.kino.de,375_5_www.kino.de,375_6_www.kino.de,375_7_www.kino.de,375_8_www.kino.de,375_9_www.kino.de,375_10_www.kino.de,376_1_www.kino.de,376_2_www.kino.de,376_3_www.kino.de,376_4_www.kino.de,376_5_www.kino.de,376_6_www.kino.de,376_7_www.kino.de,376_8_www.kino.de,376_9_www.kino.de,376_10_www.kino.de,377_1_www.kino.de,377_2_www.kino.de,377_3_www.kino.de,377_4_www.kino.de,377_5_www.kino.de,377_6_www.kino.de,377_7_www.kino.de,377_8_www.kino.de,377_9_www.kino.de,377_10_www.kino.de
37,1738845.0399999996,1591620.98,1568742.68,1530123.6,1640399.4,1514933.44,1597715.1200000003,1530316.84,8410828.46,9205002.44,8748985.72,10028123.92000001,6466932.400000009,8262179.979999999,4312543.860000001,5180859.800000002,11249892.2,5600296.799999991,3920686.34,3333851.88,3652572.8,3440229.3200000008,3327618.72,3575756.14,3139764.02,3424351.36,3423262.98,3645044.32,2113627.56,1538254.06,2005383.12,1889623.9999999998,1801440.6,2046131.5,1891114.64,1996207.560000001,1947750.5,1763785.54
38,1752002.4,1605637.48,1582840.16,1531513.4,1664604.6,1513832.52,1605005.72,1543342.84,8443518.6,9387311.28,8808984.08,11528562.040000005,6686802.3999999985,8286755.52,5107210.439999997,6200557.04,11310472.48,6398690.3999999985,3937602.56,3338802.32,3670411.48,3450702.68,3372243.64,3590294.36,3167416.88,3694654.0400000005,3600276.12,3654236.84,2122199.32,1565989.2,2033443.88,1906001.8,1804178.72,2324592.0,1907780.4,2021184.68,1969371.0,1772436.76
39,1759732.3600000003,1617448.94,1600681.08,1541066.1999999997,1669520.9,1540740.4,1639239.04,1558384.6,8471471.12,9429304.88,8924237.360000001,11914476.240000002,6709307.2,8351378.939999999,5936854.320000004,6692788.24,11365354.76,6749474.4,3949718.06,3361591.36,3703324.86,3459289.28,3385683.88,3604631.56,3183460.48,3915981.239999999,3701005.54,3681517.52,2128353.96,1581809.24,2042609.92,1908811.4,1836564.86,3101573.0,1919910.18,2040208.34,1998094.0,1792076.2599999998
40,1772601.0,1634001.2,1624878.0000000002,1558875.0,1679783.0,1572067.4,1654820.0000000002,1574129.2,8497848.8,9459045.4,8932203.8,11968271.4,7103969.0,8396213.799999999,6908355.0,7959739.999999997,11392364.2,7043308.0,3959960.2,3385692.400000001,3781136.2,3492733.4,3400174.2,3623815.2,3197193.6,4211798.999999999,3822484.2,3704796.4,2133592.6,1589020.0,2057787.4,1919154.0,1849885.4,4220670.0,1930018.6,2043743.0,2088857.0,1806768.4
41,1789081.84,1658159.68,1648500.52,1585238.8,1701680.7999999996,1597257.96,1683464.1,1608690.34,8522164.66,9500649.16,8955205.88,11993211.74,8154923.199999998,8424514.76,7805127.5,8174267.28,11431960.44,8036125.0,3971555.22,3399281.64,3800059.8,3515186.6,3409944.9200000013,3646412.42,3217530.2,4408808.44,3858215.42,3710551.84,2143486.4,1629031.0,2071283.96,1938482.2,1885661.12,5155063.0,1932050.2800000003,2058623.66,2484877.0,1818253.26
42,1808109.08,1672882.720000001,1659651.56,1593517.2,1720449.8,1604236.28,1690613.88,1626070.04,8541759.120000001,9973807.28,9016390.32,12015405.32,8248404.0,8444752.920000002,8332236.6,8233305.64,11464562.44,8260257.3999999985,3997443.76,3419767.32,3841266.96,3518882.44,3416591.88,3655698.56,3248041.92,4593342.3999999985,3888807.44,3816907.1200000006,2169257.52,1632019.68,2220993.92,1950157.0000000002,1957073.2,6177636.0,1948708.72,2087894.6,2527496.0,1830979.64
43,1838278.2,1692767.46,1677142.24,1604220.8,1729868.9,1619942.04,1696686.48,1629363.6,8569800.56,10056676.64,9040415.52,12044357.42,8259390.9,8481279.42,8380056.72,8284214.72,11494920.96,8296628.8,4017666.58,3433627.72,4320829.52,3554906.02,3511064.08,3674915.46,3251257.7800000007,5072070.679999996,3894826.6000000006,3832904.76,2191707.88,1652895.12,2246054.84,2057112.6,1965916.54,6205245.5,1958396.1,2109871.14,2971030.0,1843014.800000001
44,1856898.04,1700038.68,1684308.76,1610829.4,1754216.5999999994,1627406.68,1703373.16,1630164.36,8645806.92,10098179.08,9067613.68,12105716.8,8311705.6,8510799.88,8438517.12,8323848.36,11535325.2,8324159.6,4044174.52,3440425.44,4328116.96,3588280.56,3685150.48,3777247.52,3336339.56,5371202.08,3912763.56,3995963.76,2251565.64,1658494.36,2260868.64,2603685.399999994,2008750.56,6227051.0,2066815.24,2126423.08,4090659.0,1865859.8
45,1883539.0,1706726.2,1691096.2,1632240.0,1868295.0,1637695.6,1714422.1,1641290.4,8675708.9,10128454.2,9105073.0,12161271.2,8333436.0,9220575.9,8483065.8,8347957.2,11670542.4,8346672.0,4058767.600000001,3459946.8,4344679.3,3590152.2,3700126.8,3789240.6,3376082.9999999995,5387552.2,3921698.8,4365070.000000001,2252928.2,1741593.2999999996,2278457.8,2926274.0,2043394.9000000008,6257013.5,2403180.5000000005,2166393.000000001,4928699.5,1885325.8
46,1898081.28,1727456.8,1697967.12,1638163.2,1891903.4,1657589.24,1723127.24,1651110.9600000004,8770854.599999996,10150737.2,9135720.36,12204473.24,8359285.8,9262062.24,8505306.879999999,8356645.28,11700551.36,8377141.0,4082721.28,3466459.96,4361863.96,3602059.4800000004,3897707.6,3912888.92,3528056.04,5425149.68,3934715.56,4461141.560000009,2276744.1999999997,1960925.600000001,2326476.68,3212939.2,2051875.76,6278871.0,2580957.24,2238371.8,4955037.0,1894246.280000001
47,1917502.28,1732550.4,1722580.360000001,1641376.6,2011234.4,1673453.6,1736703.18,1654144.14,9433748.18,10341876.119999992,9170990.88,12226223.400000002,8381848.1,9287679.92,9219761.44,8377031.32,12425585.4,8406742.4,4107584.84,3490590.12,4521000.42,3618918.34,3921317.28,4303976.88,3538106.58,5445607.92,3964559.54,4903620.04,2301540.56,2143996.52,2366330.32,3216885.2,2092033.32,6339261.0,2576797.76,2738451.06,4982967.0,1919808.56
48,1953976.2,1746560.44,1760517.36,1647115.399999999,2071456.9999999998,1689292.6800000004,1747646.72,1667487.44,9468237.64,10912243.48,9174982.8,12957765.96,8831128.000000006,9312997.6,9249177.28,8404227.36,12447772.48,8921153.399999995,4124684.88,3525435.04,4538630.88,3632348.96,3960345.4,4479118.16,3570540.840000001,5451685.44,4010880.28,5076421.56,2312679.16,2172582.9200000004,2386788.48,3260621.8,2122472.88,6370381.0,2758672.08,2909024.36,5007376.0,1980123.44
49,1998285.96,1759944.1,1776912.32,1669028.4,2088239.7,1701675.72,1784572.7999999996,1681644.62,9503055.78,10909440.56,9201375.04,12984313.7,9124916.7,9344890.64,9274438.74,8816215.76,12466048.52,9151309.2,4163101.8,3572998.24,4571108.1,3655043.42,4005052.2,4501415.4,3602535.2,5472569.04,4055818.26,5126338.32,2379806.36,2197668.18,2399540.1999999993,3301906.2,2154971.54,6395056.0,2797095.44,2934858.74,5043964.0,1995612.9000000008
