,30_1_www.spiegel.de,30_2_www.spiegel.de,30_3_www.spiegel.de,30_4_www.spiegel.de,30_5_www.spiegel.de,30_6_www.spiegel.de,30_7_www.spiegel.de,30_8_www.spiegel.de,30_9_www.spiegel.de,30_10_www.spiegel.de,31_1_www.spiegel.de,31_2_www.spiegel.de,31_3_www.spiegel.de,31_4_www.spiegel.de,31_5_www.spiegel.de,31_6_www.spiegel.de,31_8_www.spiegel.de,31_10_www.spiegel.de,32_1_www.spiegel.de,32_2_www.spiegel.de,32_3_www.spiegel.de,32_4_www.spiegel.de,32_5_www.spiegel.de,32_6_www.spiegel.de,32_7_www.spiegel.de,32_8_www.spiegel.de,32_9_www.spiegel.de,32_10_www.spiegel.de,33_1_www.spiegel.de,33_2_www.spiegel.de,33_3_www.spiegel.de,33_4_www.spiegel.de,33_5_www.spiegel.de,33_6_www.spiegel.de,33_7_www.spiegel.de,33_8_www.spiegel.de,33_9_www.spiegel.de,33_10_www.spiegel.de
36,5189783.2,4157827.6,5318474.8,5230262.76,5011804.2,4827948.16,5480179.72,4020103.56,4815077.28,4946173.84,2614425.4,2876819.44,2442387.0,2455052.32,2532804.52,2528369.56,2521858.8,2675338.0000000005,2115212.52,1782598.44,2130238.16,2211742.24,2010315.84,2138362.0,2142938.8000000003,1768590.96,1743747.64,1791742.5999999994,1894640.2,1847825.56,2230401.36,2398324.4,2206837.52,2015595.08,2238932.0,1973076.48,2273189.68,1890184.84
37,5202295.32,4489929.22,5349389.6,5310926.68,5078910.6,4851170.82,5492358.56,4106117.4,4901297.08,4957120.12,2684300.86,2944079.32,2458244.0,2468605.94,2539934.94,2545944.4000000004,2544857.6,2710493.2,2185259.4000000013,1789272.98,2190579.4799999977,2241027.6,2044683.46,2148490.6,2197757.72,1794422.58,1752662.84,1800066.48,1912080.0,1885396.28,2241097.0800000005,2414380.8000000003,2274430.16,2024921.56,2487114.0,1986552.1200000003,2278848.2800000003,1914098.72
38,5227673.04,4878815.920000003,5437845.4,5351321.48,5090566.8,5025352.16,5557882.84,4172124.8,5005805.08,5044298.68,2700958.12,3004453.24,2469546.0,2488363.24,2563565.44,2569836.600000001,2573193.4,2804881.2,2269612.2,1797112.48,2214269.72,2255820.04,2116380.6,2190967.4,2212646.52,1823585.08,1751494.84,1819723.52,2143626.6,1903663.32,2449913.56,2434133.640000001,2302495.28,2209161.16,3102559.0,2055695.4400000004,2301262.8,1968505.48
39,5244976.06,5108112.04,5464770.8,5389543.94,5201727.4,5208812.56,5633923.08,4538835.16,5041793.26,5248706.76,2717275.6,3023700.6199999987,2496334.0,2569707.08,2570219.78,2635052.08,2614364.0,2825637.7,2291507.08,1804786.46,2232236.16,2274653.84,2130528.46,2206805.8200000003,2254022.6,1841267.880000001,1762684.68,1840132.8,2187998.9,1917083.96,2972544.56,2458502.68,2349884.079999998,2301186.08,3398081.0,2063037.52,2337888.32,2055672.24
40,5562500.8,5155481.8,5495297.0,5414871.2,5236712.0,5392354.8,5773419.4,4852495.4,5169348.4,5267999.4,2752729.6,3055491.6,2507803.0,2614369.4,2616750.6,2658157.6,2630683.0,2872668.0,2310494.2,1836348.0,2275879.6,2285873.0,2141497.4,2239750.000000001,2261886.4,1850949.0000000002,1803396.800000004,1855833.2,2277919.0,2150804.8,3267727.6,2467007.8,2718317.399999994,2313499.2,3666055.0,2095931.7999999975,2338108.8,2070538.6
41,6546402.219999996,5165608.52,5559846.8,5516281.080000001,5351117.8,5401123.36,5790100.68,5058707.28,5199297.42,5284629.92,2759926.78,3086909.7599999993,2618025.0,2623686.48,2675709.08,2683906.8000000003,2651141.9999999995,2937592.2,2322201.6,1872649.02,2302343.08,2315308.94,2198254.64,2254619.96,2274690.8,1912851.28,1850028.74,1967729.4,2278336.7,2172332.36,3556164.2,2485209.92,3079858.56,2319547.64,4118656.0,2315537.08,2398262.78,2079546.44
42,7300199.16,5295582.12,5658713.2,5636852.28,5376357.0,5417695.76,5822992.84,5106876.92,5254256.72,5351241.12,2787075.16,3107007.76,2687735.0,2632603.160000001,2716633.36,2735196.48,2671607.4,2944027.6,2339710.16,1936884.32,2308629.28,2337017.64,2233451.88,2280049.28,2311352.52,1984071.36,1883680.04,2088528.64,2293569.8,2198452.56,3938311.4,2501951.04,3245567.6399999987,2342747.56,4435483.0,2327167.04,2411622.36,2086890.2
43,7410023.52,5333664.1,5742469.8,5667629.3999999985,5455608.4,5520445.4,5888020.759999999,5125340.68,5296530.88,5409553.68,2797046.36,3214964.58,2696664.0,2655545.56,2751291.38,2769884.92,2679638.4000000004,2960819.4,2361651.48,1962911.98,2324900.36,2369155.72,2246252.64,2304185.82,2325454.8000000003,2010282.4,1915214.68,2116060.16,2299944.4,2215842.72,4278090.92,2650358.48,3368315.02,2351680.44,4782358.0,2331576.84,2424078.2,2329181.12
44,7470690.24,5427392.199999998,5769430.0,5694718.16,5479138.4,5557700.16,5922092.84,5154991.32,5318524.12,5417531.52,2815707.52,3258149.68,2723482.0,2664719.2,2762774.24,2789199.56,2737229.2,2997934.8000000007,2469618.08,2026125.48,2341438.72,2383640.4,2287751.8000000003,2335898.72,2424422.64,2021435.4800000002,1927503.8,2120395.6,2304740.4,2292596.16,4350095.84,2662716.28,3697830.64,2410692.88,5029119.0,2368017.16,2482289.16,2330135.76
45,7514268.8,5559989.800000002,5794210.0,5730615.8,5536222.0,5574887.7,5953778.999999999,5245744.6,5356773.199999998,5483376.6,2981144.9999999986,3312245.7,2738686.0,2686579.4,2802750.9999999986,2819240.0,2747334.0,3018849.0,2482064.4,2058456.3,2361040.6,2467184.0,2379920.7,2421733.4,2430914.2,2032445.1,1947005.3,2128855.4,2365127.0,2308648.0,4587796.0,2702959.0,4042866.9,2434264.4000000004,5277385.5,2385263.4,2584432.1,2353956.4
